"%s (Default Template from Locale)","%s (Modelo Padrão do Local)"
"%s cache type(s) disabled.","%stype(s) de cache desativado(s)."
"%s cache type(s) enabled.","%stype(s) de cache habilitado(s)."
"%s cache type(s) refreshed.","%s tipo(s) de cache atualizado(s)."
"Yes (301 Moved Permanently)","Sim (301 movido permanentemente)"
"Yes (302 Found)","Sim (302 encontrados)"
"Yes (only price with tax)","Sim (apenas o preço com imposto)"
"You cannot delete your own account.","Você não pode apagar sua própria conta."
"You did not sign in correctly or your account is temporarily disabled.","Você não fez login corretamente ou sua conta está temporariamente desabilitada."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Você tem %s, %s e %s mensagens não lidas. <a href=""%s"">Ir para caixa de entrada de mensagens</a>."
"You have %s unread message(s).","Você tem %s mensagem(ns) não lida(s)."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Você tem %s mensagem(ns) não lida(s). <a href=""%s"">Ir para caixa de entrada de mensagens</a>."
"You have logged out.","Você saiu."
"You have not enough permissions to use this functionality.","Você não tem permissões suficientes para usar essa funcionalidade."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você deve ter JavaScript habilitado no seu navegador para utilizar a funcionalidade deste site."
"You need to specify order items.","Você precisa especificar itens de pedido."
"Your password has been updated.","Sua senha foi atualizada."
"Your password reset link has expired.","Seu link de redefinição de senha expirou."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do seu servidor PHP não permite carregar arquivos com mais de %s. Por favor, modifique no arquivo php.ini o post_max_size (valor atual: %s) e o upload_max_filesize (valor atual: %s) se você deseja carregar arquivos maiores."
"YTD","Acumulado no ano"
"Zip/Postal Code","CEP"
"Zip/Postal Code:","CEP:"
" [deleted]"," [apagado]"
"[ deleted ]","[ apagado ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"[WEBSITE]","[SITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} não é recomendado para uso em um ambiente de produção para declarar a URL Básica Insegura / URL Básica Segura. É altamente recomendado alterar esse valor em sua configuração do Maho <a href=""%s"">de</a>."
