"%d product(s) were updated","%d produkt(er) blev opdateret"
"%s (Default Template from Locale)","%s (Standard skabelon fra Locale)"
"%s cache type(s) disabled.","%s cache type(r) deaktiveret."
"%s cache type(s) enabled.","%s cache type(r) aktiveret."
"%s cache type(s) refreshed.","%s cache type(r) opdateret."
"User Name is required field.","Brugernavn er obligatorisk felt."
"User Password","Bruger Adgangskode"
"User Role","Bruger Rolle"
"User Roles","Bruger Roller"
"User Roles Information","Bruger Roller Information"
"Users","Brugere"
"User Type Resources","Bruger Type Ressourcer"
"Use Website","Brug Hjemmeside"
"Validation Results","Valideringsresultater"
"Value","Værdi"
"Value Delimiter:","Værdi Afgrænser:"
"Variable","Variabel"
"Variable Code","Variabel Kode"
"Variable Details","Variabel Detaljer"
"Variable has been deleted.","Variabel er blevet slettet."
"Variable HTML Value","Html Variabel Værdi"
"Variable ID","Variabel ID"
"Variable Name","Variabel Navn"
"Variable Name is incorrect.","Variablens navn er forkert."
"Variable Name is required field.","Variabel Navn er obligatorisk felt."
"Variable Plain Value","Variabel Almindelig Værdi"
"Variables","Variabler"
"VAT Number is Invalid","CVR-nummer er ugyldigt"
"VAT Number is Valid","CVR-nummer er gyldigt"
"Verification Code","Bekræftelseskode"
"Verifier code: %s","Bekræftelseskode: %s"
"View Actions XML","Vis Handlinger XML"
"View Full Size","Vis Fuld Størrelse"
"View Statistics For:","Se Statistik For:"
"Visibility:","Synlighed:"
"Visible","Synlig"
"Visitors","Besøgende"
"Warning","Advarsel"
"Warning! Empty value can cause problems with CSV format.","Advarsel! Tom værdi kan forårsage problemer med CSV-format."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Advarsel!\r\nDenne handling vil fjerne denne bruger fra allerede tildelt rolle\r\nEr du sikker?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Advarsel!\r\nDenne handling vil fjerne disse brugere fra allerede tildelte roller\r\nEr du sikker?"
"Warning: Please do not close the window during importing/exporting data","Advarsel: Luk ikke vinduet under importering/eksport af data"
"Watermark File for %s","Vandmærke fil til %s"
"Web Services","Web Services"
"Web services","Webtjenester"
"Website","Hjemmeside"
"website(%s) scope","websted(%s) anvendelsesområde"
"What is this?","Hvad er dette?"
"Wishlist item is not loaded.","Ønskeliste element er ikke indlæst."
"Wrong account specified.","Forkert konto angivet."
"Wrong billing agreement ID specified.","Forkert faktureringsaftale-ID angivet."
"Wrong column format.","Forkert kolonneformat."
"Wrong field specified.","Forkert felt angivet."
"Wrong newsletter template.","Forkert nyhedsbrev skabelon."
"Wrong quote item.","Forkert tilbudselement."
"Wrong tab configuration.","Forkert fanebladskonfiguration."
"Wrong tab configuration for %s %s.","Forkert fanekonfiguration for %s %s."
"Wrong tag was specified.","Forkert tag blev angivet."
"Wrong transaction ID specified.","Forkert transaktions-ID angivet."
"XML","XML"
"XML data is invalid.","XML-data er ugyldige."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML-objektet er ikke forekomst af ""\Maho\Simplexml\Element""."
"Year","År"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 Flyttet permanent)"
"Yes (302 Found)","Ja (302 Fundet)"
"Yes (only price with tax)","Ja (kun pris med moms)"
"You cannot delete your own account.","Du kan ikke slette din egen konto."
"You did not sign in correctly or your account is temporarily disabled.","Du har ikke logget ind korrekt eller din konto er midlertidigt deaktiveret."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Du har %s, %s og %s ulæste beskeder. <a href=""%s"">Gå til beskeder indbakke</a>."
"You have %s unread message(s).","Du har %s ulæste besked(er)."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Du har %s ulæste besked(er). <a href=""%s"">Gå til beskedindbakke</a>."
"You have logged out.","Du har logget ud."
"You have not enough permissions to use this functionality.","Du har ikke nok tilladelser til at bruge denne funktionalitet."
"You need to specify order items.","Du skal angive ordreelementer."
"Your password has been updated.","Din adgangskode er blevet opdateret."
"Your password reset link has expired.","Dit link til nulstilling af adgangskode er udløbet."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Din server PHP indstillinger giver dig mulighed for at uploade filer ikke mere end %s ad gangen. Rediger post_max_size (pt. er %s) og upload_max_filesize (pt. er %s) værdier i php.ini hvis du vil uploade større filer."
"YTD","ÅTD"
"Zip/Postal Code","Postnummer"
"Zip/Postal Code:","Postnummer:"
" [deleted]"," [deleted]"
"[ deleted ]","[ slettet ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[OPBEVARING VIEW]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} anbefales ikke at bruge i et produktionsmiljø for at erklære Base Usikker URL / Base Secure URL. Det anbefales stærkt at ændre denne værdi i din Maho <a href=""%s"">-konfiguration</a>."
