"%d product(s) were updated","%d tuotetta päivitettiin"
"%s (Default Template from Locale)","%s (Oletusmalli Locale)"
"%s cache type(s) disabled.","%s välimuistityyppi poistettu käytöstä."
"%s cache type(s) enabled.","%s välimuistityyppi(t) käytössä."
"%s cache type(s) refreshed.","%s välimuistityyppi(t) päivitetty."
"The Special Price is active only when lower than the Actual Price.","Erikoishinta on aktiivinen vain silloin, kun alhaisempi kuin todellinen hinta."
"The tag has been deleted.","Tunniste on poistettu."
"The tag has been saved.","Tunniste on tallennettu."
"The transaction details have been updated.","Tapahtuman tiedot on päivitetty."
"The URL Rewrite has been deleted.","URL uudelleenohjaus on poistettu."
"The URL Rewrite has been saved.","URL-osoitteen uudelleenohjaus on tallennettu."
"The user has been deleted.","Käyttäjä on poistettu."
"The user has been saved.","Käyttäjä on tallennettu."
"The variable has been saved.","Muuttuja on tallennettu."
"This Account is","Tämä tili on"
"This account is","Tämä tili on"
"This account is inactive.","Tämä tili ei ole aktiivinen."
"This attribute set does not have attributes which we can use for configurable product","Tämä attribuuttisarja ei sisällä attribuutteja, joita voimme käyttää muokattavissa olevassa tuotteessa"
"This block no longer exists.","Tätä lohkoa ei ole enää olemassa."
"This Email template no longer exists.","Sähköpostimallia ei ole enää olemassa."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Tämä on esittelykauppa. Kaikki tämän kaupan kautta tehdyt tilaukset eivät ole kunnioitettuja tai täytettyjä."
"This is a required field.","Tämä on pakollinen kenttä."
"This is a test email from Maho admin.","Tämä on testisähköposti Maho adminilta."
"This product is currently disabled.","Tämä tuote on tällä hetkellä pois käytöstä."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Tämä raportti riippuu aikavyöhykkeen kokoonpanosta. Kun aikavyöhyke on muutettu, elinkaaritilastoja on päivitettävä."
"This Role no longer exists","Tätä roolia ei enää ole"
"This Role no longer exists.","Tätä roolia ei ole enää olemassa."
"This section is not allowed.","Tämä osa ei ole sallittu."
"This user no longer exists.","Tätä käyttäjää ei enää ole."
"This variable no longer exists.","Tätä muuttujaa ei ole enää olemassa."
"Time","Aika"
"To","Vastaanottaja"
"to","päättyen"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Peruutaksesi odottavat valtuutukset ja vapauttaaksesi summat, jotka on jo käsitelty tämän maksun aikana, napsauta Peruuta."
"Tools","Työkalut"
"Top 5 Search Terms","Top 5 Hakutermit"
"Total","Yhteensä"
"Total Invoiced","Laskutettu Yhteensä"
"Total of %d record(s) have been deleted.","Yhteensä %d tietuetta on poistettu."
"Total of %d record(s) have been updated.","Yhteensä %d tietuetta on päivitetty."
"Total of %d record(s) were deleted","Yhteensä %d tietuetta poistettiin"
"Total of %d record(s) were deleted.","Yhteensä %d tietuetta poistettiin."
"Total of %d record(s) were updated","Yhteensä %d tietuetta päivitettiin"
"Total of %d record(s) were updated.","Yhteensä %d tietuetta päivitettiin."
"Total of %d URL rewrite(s) have been deleted.","Yhteensä %d URL-osoitteen uudelleenkirjoitus on poistettu."
"Total Order Amount","Tilauksen Määrä Yhteensä"
"Total Refunded","Hyvitetty Yhteensä"
"Tracking number %s for %s assigned","Seuranta numero %s kohteelle %s"
"Tracking number cannot be empty.","Seurantanumero ei voi olla tyhjä."
"Track Order","Seuraa Järjestystä"
"Track this shipment","Seuraa tätä lähetystä"
"Trailing Slash Behavior","Trailing Slash Käyttäytyminen"
"Transactional Emails","Transaktionaaliset Sähköpostit"
"Transaction Data","Tapahtuman Tiedot"
"Transaction Details","Tapahtuman Tiedot"
"Transaction ID","Tapahtuman Tunnus"
"Transactions","Tapahtumat"
"Transaction Type","Tapahtuman Tyyppi"
"Two-Factor Authentication","Kaksivaiheinen Todennus"
"Type","Tyyppi"
"Type:","Tyyppi:"
"Unable to cancel the credit memo.","Hyvitysmuistia ei voitu peruuttaa."
"Unable to find a block to delete.","Poistettavaa lohkoa ei löydy."
"Unable to find a Email Template to delete.","Poistettavaa sähköpostimallia ei löydy."
"Unable to find a tag to delete.","Poistettavaa tagia ei löytynyt."
"Unable to find a user to delete.","Poistettavaa käyttäjää ei löytynyt."
"Unable to find a variable to delete.","Poistettavaa muuttujaa ei löydy."
"Unable to initialize import model","Tuontimallia ei voitu alustaa"
"Unable to refresh lifetime statistics.","Elinikäisiä tilastoja ei voi päivittää."
"Unable to refresh recent statistics.","Viimeaikaisia tilastoja ei voitu päivittää."
"Unable to save the cron expression.","Ei voitu tallentaa cron-lauseketta."
"Unable to save the invoice.","Laskua ei voitu tallentaa."
"Unable to send the invoice email.","Laskutussähköpostia ei voitu lähettää."
"Unable to send the shipment email.","Lähetyksen sähköpostia ei voitu lähettää."
"Unable to update transaction details.","Tapahtuman tietoja ei voitu päivittää."
"Unable to void the credit memo.","Hyvitysmuistia ei voi mitätöidä."
"Unknown","Tuntematon"
"Unlimited","Rajoittamaton"
"Update","Päivitä"
"Updated At","Päivitetty Klo"
"Uploaded file is larger than %.2f kilobytes allowed by server","Ladattu tiedosto on suurempi kuin palvelimen sallima %.2f kilotavua"
"Upload File","Lataa Tiedosto"
"Upload Files","Lataa Tiedostoja"
"URL Rewrite","Url-Osoitteen Uudelleenohjaus"
"URL Rewrite Information","Url-Uudelleenkirjoituksen Tiedot"
"URL Rewrite Management","Url-Uudelleenkirjoituksen Hallinta"
"Use All Available Attributes","Käytä Kaikkia Käytettävissä Olevia Attribuutteja"
"Use Config Settings","Käytä Kokoonpanon Asetuksia"
"Used as Default For","Käytetään oletuksena"
"Used Currently For","Käytetään Tällä Hetkellä"
"Use Default","Käytä Oletusta"
"Use Default Value","Käytä Oletusarvoa"
"Use Default Variable Values","Käytä Oletusmuuttujan Arvoja"
"User Email","Käyttäjän Sähköposti"
"User ID","Käyttäjän Tunnus"
"User Info","Käyttäjän Tiedot"
"User Information","Käyttäjän Tiedot"
"User Name","Käyttäjän Nimi"
"User name","Käyttäjän nimi"
"User Name:","Käyttäjän Nimi:"
"User Name is required field.","Käyttäjänimi on pakollinen kenttä."
"User Password","Käyttäjän Salasana"
"User Role","Käyttäjän Rooli"
"User Roles","Käyttäjän Roolit"
"User Roles Information","Käyttäjän Roolien Tiedot"
"Users","Käyttäjät"
"User Type Resources","Käyttäjätyypin Resurssit"
"Use Website","Käytä Verkkosivustoa"
"Validation Results","Vahvistuksen Tulokset"
"Value","Arvo"
"Value Delimiter:","Arvon Erotin:"
"Variable","Muuttuja"
"Variable Code","Muuttujan Koodi"
"Variable Details","Muuttujan Tiedot"
"Variable has been deleted.","Muuttuja on poistettu."
"Variable HTML Value","Muuttuva Html- Arvo"
"Variable ID","Muuttujan ID"
"Variable Name","Muuttujan Nimi"
"Variable Name is incorrect.","Muuttujan nimi on virheellinen."
"Variable Name is required field.","Muuttujan nimi on pakollinen kenttä."
"Variable Plain Value","Muuttujan Pelkkä Arvo"
"Variables","Muuttujat"
"VAT Number is Invalid","ALV-numero on virheellinen"
"VAT Number is Valid","ALV-numero on voimassa"
"Verification Code","Vahvistuskoodi"
"Verifier code: %s","Todennuskoodi: %s"
"View Actions XML","Näytä Toiminnot XML"
"View Full Size","Näytä Koko"
"View Statistics For:","Näytä Tilastot:"
"Visibility:","Näkyvyys:"
"Visible","Näkyvä"
"Visitors","Vierailijat"
"Warning","Varoitus"
"Warning! Empty value can cause problems with CSV format.","Varoitus! Tyhjä arvo voi aiheuttaa ongelmia CSV-muodossa."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Varoitus!\r\nTämä toiminto poistaa tämän käyttäjän jo osoitetusta roolista\r\nOletko varma?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Varoitus!\r\nTämä toiminto poistaa ne käyttäjät jo määritellyistä rooleista\r\nOletko varma?"
"Warning: Please do not close the window during importing/exporting data","Varoitus: Älä sulje ikkunaa tuonnin tai viennin aikana"
"Watermark File for %s","Vesileiman tiedosto %s"
"Web Services","Web Palvelut"
"Web services","Verkkopalvelut"
"Website","Sivusto"
"website(%s) scope","website(%s) scope"
"What is this?","Mikä tämä on?"
"Wishlist item is not loaded.","Toivelista tuotetta ei ole ladattu."
"Wrong account specified.","Väärä tili määritetty."
"Wrong billing agreement ID specified.","Väärä laskutussopimus ID määritetty."
"Wrong column format.","Virheellinen sarakkeen muoto."
"Wrong field specified.","Väärä kenttä määritetty."
"Wrong newsletter template.","Väärä uutiskirjeen sivupohja."
"Wrong quote item.","Väärä lainaus kohde."
"Wrong tab configuration.","Väärä välilehden asetus."
"Wrong tab configuration for %s %s.","Väärä välilehtien määritys %s %s."
"Wrong tag was specified.","Väärä tagi määritetty."
"Wrong transaction ID specified.","Väärä tapahtumatunnus määritetty."
"XML","XML"
"XML data is invalid.","XML-tiedot eivät kelpaa."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML-objekti ei ole instanssi ""\Maho\Simplexml\Element""."
"Year","Vuosi"
"Yes","Kyllä"
"Yes (301 Moved Permanently)","Kyllä (301 Siirretty Pysyvästi)"
"Yes (302 Found)","Kyllä (302 Löytynyt)"
"Yes (only price with tax)","Kyllä (hinta vain verolla)"
"You cannot delete your own account.","Et voi poistaa omaa tiliäsi."
"You did not sign in correctly or your account is temporarily disabled.","Et kirjautunut sisään oikein tai tilisi on väliaikaisesti poistettu käytöstä."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Sinulla on %s, %s ja %s lukemattomia viestejä. <a href=""%s"">Siirry viesteihin saapuneet-kansioon</a>."
"You have %s unread message(s).","Sinulla on %s lukematonta viestiä."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Sinulla on %s lukematonta viestiä. <a href=""%s"">Mene viesteihin saapuneet-kansioon</a>."
"You have logged out.","Olet kirjautunut ulos."
"You have not enough permissions to use this functionality.","Sinulla ei ole tarpeeksi oikeuksia käyttää tätä toimintoa."
"You need to specify order items.","Sinun täytyy määrittää tilauksen kohteita."
"Your password has been updated.","Salasanasi on päivitetty."
"Your password reset link has expired.","Salasanan palautuslinkki on vanhentunut."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files."
"YTD","YTD"
"Zip/Postal Code","Postinumero"
"Zip/Postal Code:","Postinumero"
" [deleted]"," [deleted]"
"[ deleted ]","[ poistettu ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[LÄHETÄ NÄYTTEET]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} ei ole suositeltavaa käyttää tuotantoympäristössä Base Unsecure URL / Base Secure URL-osoitteen ilmoittamiseksi. On erittäin suositeltavaa muuttaa tätä arvoa Maho <a href=""%s"">kokoonpanossa</a>."
