"%d product(s) were updated","%d prodotto(i) aggiornato(i)"
"%s (Default Template from Locale)","%s (modello predefinito da locale)"
"%s cache type(s) disabled.","%s tipi di cache disabilitati."
"%s cache type(s) enabled.","%s tipi di cache abilitati."
"%s cache type(s) refreshed.","%s tipi di cache aggiornati."
"User name","Nome utente"
"User Name:","Nome Utente:"
"User Name is required field.","Nome utente è campo obbligatorio."
"User Password","Password Utente"
"User Role","Ruolo Utente"
"User Roles","Ruoli Utente"
"User Roles Information","Informazioni Ruoli Utente"
"Users","Utenti"
"User Type Resources","Tipo Di Utente Risorse"
"Use Website","Usa Sito Web"
"Validation Results","Risultati Di Convalida"
"Value","Valore"
"Value Delimiter:","Valore Delimiter:"
"Variable","Variabile"
"Variable Code","Codice Variabile"
"Variable Details","Dettagli Della Variabile"
"Variable has been deleted.","La variabile è stata eliminata."
"Variable HTML Value","Valore Html Variabile"
"Variable ID","Id Variabile"
"Variable Name","Nome Della Variabile"
"Variable Name is incorrect.","Nome della variabile non corretto."
"Variable Name is required field.","Nome variabile è campo obbligatorio."
"Variable Plain Value","Valore Semplice Variabile"
"Variables","Variabili"
"VAT Number is Invalid","Partita IVA non valida"
"VAT Number is Valid","Numero IVA è valido"
"Verification Code","Codice Di Verifica"
"Verifier code: %s","Codice verificatore: %s"
"View Actions XML","Visualizza Azioni Xml"
"View Full Size","Visualizza Dimensione Completa"
"View Statistics For:","Visualizza Statistiche Per:"
"Visibility:","Visibilità:"
"Visitors","Visitatori"
"Warning","Attenzione"
"Warning! Empty value can cause problems with CSV format.","Attenzione! Il valore vuoto può causare problemi con il formato CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Attenzione!\r\nQuesta azione rimuoverà questo utente dal ruolo già assegnato\r\nSei sicuro?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Attenzione!\r\nQuesta azione rimuoverà quegli utenti dai ruoli già assegnati\r\nSei sicuro?"
"Warning: Please do not close the window during importing/exporting data","Attenzione: non chiudere la finestra durante l'importazione/esportazione dei dati"
"Watermark File for %s","File filigrana per %s"
"Web Services","Servizi Web"
"Web services","Servizi web"
"Website","Sito"
"website(%s) scope","ambito del sito web (%s)"
"What is this?","Che cos'è questo?"
"Wishlist item is not loaded.","Elemento Wishlist non caricato."
"Wrong account specified.","Account specificato errato."
"Wrong billing agreement ID specified.","ID accordo di fatturazione errato specificato."
"Wrong column format.","Formato colonna errato."
"Wrong field specified.","Campo specificato errato."
"Wrong newsletter template.","Modello di newsletter errato."
"Wrong quote item.","Elemento di citazione errato."
"Wrong tab configuration.","Configurazione scheda errata."
"Wrong tab configuration for %s %s.","Configurazione scheda errata per %s %s."
"Wrong tag was specified.","È stato specificato un tag errato."
"Wrong transaction ID specified.","Id transazione specificato errato."
"XML","XML"
"XML data is invalid.","Dati XML non validi."
"XML object is not instance of ""\Maho\Simplexml\Element"".","L'oggetto XML non è istanza di ""\Maho\Simplexml\Element""."
"Year","Anno"
"Yes","Sì"
"Yes (301 Moved Permanently)","Sì (301 Spostato Permanentemente)"
"Yes (302 Found)","Si (302 Trovato)"
"Yes (only price with tax)","Sì (solo il prezzo con le imposte)"
"You cannot delete your own account.","Non puoi eliminare il tuo account."
"You did not sign in correctly or your account is temporarily disabled.","Non hai effettuato l'accesso correttamente o il tuo account è temporaneamente disabilitato."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Hai %s, %s e %s messaggi non letti. <a href=""%s"">Vai alla casella di posta</a>."
"You have %s unread message(s).","Hai %s messaggi non letti."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Hai %s messaggi non letti. <a href=""%s"">Vai alla casella di posta</a>."
"You have logged out.","Hai disconnesso."
"You have not enough permissions to use this functionality.","Non hai i permessi sufficienti per utilizzare questa funzionalità."
"You need to specify order items.","È necessario specificare gli elementi dell'ordine."
"Your password has been updated.","La tua password è stata aggiornata."
"Your password reset link has expired.","Il link per reimpostare la password è scaduto."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Le impostazioni PHP del server consentono di caricare file non più di %s alla volta. Si prega di modificare post_max_size (attualmente è %s) e upload_max_filesize (attualmente è %s) valori in php.ini se si desidera caricare file più grandi."
"YTD","YTD"
"Zip/Postal Code","Codice Postale"
"Zip/Postal Code:","Codice Postale:"
" [deleted]"," [deleted]"
"[ deleted ]","[ eliminato ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VISTA STORI]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>."
