"%d product(s) were updated","%d produto(s) foram atualizados"
"%s (Default Template from Locale)","%s (Modelo Padrão do Local)"
"%s cache type(s) disabled.","Tipo(s) de cache %s desativado."
"%s cache type(s) enabled.","Tipo(s) de cache %s habilitado."
"%s cache type(s) refreshed.","Tipo de cache %s atualizado."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Aviso!\r\nEsta ação irá remover este usuário da função já atribuída\r\nVocê tem certeza?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Aviso!\r\nEsta ação irá remover estes usuários dos cargos já atribuídos\r\nVocê tem certeza?"
"Warning: Please do not close the window during importing/exporting data","Aviso: Não feche a janela durante a importação/exportação de dados"
"Watermark File for %s","Arquivo Marca d'água para %s"
"Web Services","Serviços Web"
"Web services","Serviços Web"
"Website","site"
"website(%s) scope","escopo website(%s)"
"What is this?","O que é isto?"
"Wishlist item is not loaded.","O item da lista de desejos não está carregado."
"Wrong account specified.","Conta especificada incorretamente."
"Wrong billing agreement ID specified.","ID de contrato de cobrança especificada incorretamente."
"Wrong column format.","Formato de coluna incorreto."
"Wrong field specified.","Campo especificado errado."
"Wrong newsletter template.","Modelo de newsletter errado."
"Wrong quote item.","Item da cotação errado."
"Wrong tab configuration.","Configuração de aba errada."
"Wrong tab configuration for %s %s.","Configuração errada da aba para %s %s."
"Wrong tag was specified.","Marcador errado foi especificado."
"Wrong transaction ID specified.","Erro no ID de transação especificado."
"XML","XML"
"XML data is invalid.","Dados XML inválidos."
"XML object is not instance of ""\Maho\Simplexml\Element"".","Objeto XML não é instância de ""\Maho\Simplexml\Element""."
"Year","ano"
"Yes","sim"
"Yes (301 Moved Permanently)","Sim (301 Movido Permanentemente)"
"Yes (302 Found)","Sim (302 encontrado)"
"Yes (only price with tax)","Sim (apenas o preço com impostos)"
"You cannot delete your own account.","Você não pode excluir sua própria conta."
"You did not sign in correctly or your account is temporarily disabled.","Você não entrou corretamente ou sua conta está temporariamente desativada."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Você tem %s, %s e %s mensagens não lidas. <a href=""%s"">Vá para caixa de entrada</a>."
"You have %s unread message(s).","Você tem %s mensagens não lidas."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Você tem %s mensagens não lidas. <a href=""%s"">Vá para caixa de entrada</a>."
"You have logged out.","Você se desconectou."
"You have not enough permissions to use this functionality.","Você não tem permissões suficientes para usar esta funcionalidade."
"You need to specify order items.","Você precisa especificar os itens do pedido."
"Your password has been updated.","Sua senha foi atualizada."
"Your password reset link has expired.","Seu link de redefinição de senha expirou."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Suas configurações de servidor PHP permitem que você envie arquivos não mais do que %s de cada vez. Por favor modifique os valores post_max_size (atualmente %s) e upload_max_filesize (atualmente é %s) no php.ini se você quiser enviar arquivos maiores."
"YTD","JTD"
"Zip/Postal Code","CEP/Código Postal"
"Zip/Postal Code:","CEP/Código Postal:"
" [deleted]"," [deleted]"
"[ deleted ]","[ eliminado ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VISUALIZAÇÃO DA LOJA]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} não é recomendado usar em ambiente de produção para declarar a URL Base Insegura / URL Base Segura. É altamente recomendado alterar este valor em sua Maho <a href=""%s"">configuração</a>."
