"%d product(s) were updated","%d Produkt(e) wurden aktualisiert"
"%s (Default Template from Locale)","%s (Standardvorlage aus dem Gebiet)"
"%s cache type(s) disabled.","%s Cache-Typ(en) deaktiviert."
"%s cache type(s) enabled.","%s Cache-Typ(en) aktiviert."
"%s cache type(s) refreshed.","%s Cache-Typ(en) aktualisiert."
"This Email template no longer exists.","Diese E-Mail-Vorlage existiert nicht mehr."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dies ist ein Demo-Store. Alle Bestellungen, die in diesem Shop getätigt werden, werden weder vergeben noch ausgeführt."
"This is a required field.","Dies ist ein Pflichtfeld."
"This is a test email from Maho admin.","Dies ist eine Test-E-Mail von Maho Admin."
"This product is currently disabled.","Dieser Artikel ist derzeit deaktiviert."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Dieser Bericht ist abhängig von der Zeitzonen-Konfiguration. Sobald die Zeitzone geändert wird, müssen die lebenslangen Statistiken aktualisiert werden."
"This Role no longer exists","Diese Rolle existiert nicht mehr"
"This Role no longer exists.","Diese Rolle existiert nicht mehr."
"This section is not allowed.","Dieser Abschnitt ist nicht erlaubt."
"This user no longer exists.","Dieser Benutzer existiert nicht mehr."
"This variable no longer exists.","Diese Variable existiert nicht mehr."
"Time","Zeit"
"To","An"
"to","zu"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Klicken Sie auf Abbrechen, um ausstehende Autorisierungen und Freigabebeträge abzubrechen, die bereits während dieser Zahlung bearbeitet wurden."
"Tools","Werkzeuge"
"Top 5 Search Terms","Top 5 Suchbegriffe"
"Total","Gesamt"
"Total Invoiced","Gesamt abgerechnet"
"Total of %d record(s) have been deleted.","Insgesamt wurden %d Einträge(n) gelöscht."
"Total of %d record(s) have been updated.","Gesamte %d Einträge(n) wurden aktualisiert."
"Total of %d record(s) were deleted","%d Aufzeichnung(en) wurden gelöscht"
"Total of %d record(s) were deleted.","Insgesamt wurden %d Einträge(n) gelöscht."
"Total of %d record(s) were updated","Gesamt %d Datensatz(e) wurden aktualisiert"
"Total of %d record(s) were updated.","Gesamte %d Einträge(n) wurden aktualisiert."
"Total of %d URL rewrite(s) have been deleted.","Insgesamt wurden %d URL-Rewrite(s) gelöscht."
"Total Order Amount","Gesamtbestellmenge"
"Total Refunded","Gesamt erstattet"
"Tracking number %s for %s assigned","Trackingnummer %s für %s zugewiesen"
"Tracking number cannot be empty.","Trackingnummer darf nicht leer sein."
"Track Order","Track-Reihenfolge"
"Track this shipment","Diese Sendung verfolgen"
"Trailing Slash Behavior","Slash Verhalten am Ende"
"Transactional Emails","Transaktions-E-Mails"
"Transaction Data","Transaktionsdaten"
"Transaction Details","Transaktionsdetails"
"Transaction ID","Transaktions-ID"
"Transactions","Transaktionen"
"Transaction Type","Transaktionstyp"
"Two-Factor Authentication","Zwei-Faktor-Authentifizierung"
"Type","Typ"
"Type:","Typ:"
"Unable to cancel the credit memo.","Die Rechnungskorrektur konnte nicht abgebrochen werden."
"Unable to find a block to delete.","Konnte keinen Block zum Löschen finden."
"Unable to find a Email Template to delete.","Es konnte keine E-Mail-Vorlage zum Löschen gefunden werden."
"Unable to find a tag to delete.","Konnte kein Tag zum Löschen finden."
"Unable to find a user to delete.","Konnte keinen Benutzer zum Löschen finden."
"Unable to find a variable to delete.","Konnte keine Variable zum Löschen finden."
"Unable to initialize import model","Importmodell konnte nicht initialisiert werden"
"Unable to refresh lifetime statistics.","Kann die lebenslange Statistik nicht aktualisieren."
"Unable to refresh recent statistics.","Letzte Statistiken konnten nicht aktualisiert werden."
"Unable to save the cron expression.","Der cron-Ausdruck konnte nicht gespeichert werden."
"Unable to save the invoice.","Rechnung konnte nicht gespeichert werden."
"Unable to send the invoice email.","Die Rechnungs-E-Mail konnte nicht gesendet werden."
"Unable to send the shipment email.","Versand der Sendungs-E-Mail nicht möglich."
"Unable to update transaction details.","Transaktionsdetails konnten nicht aktualisiert werden."
"Unable to void the credit memo.","Die Rechnungskorrektur konnte nicht storniert werden."
"Unknown","Unbekannt"
"Unlimited","Unbegrenzt"
"Update","Aktualisieren"
"Updated At","Aktualisiert am"
"Uploaded file is larger than %.2f kilobytes allowed by server","Die hochgeladene Datei ist größer als %.2f Kilobytes vom Server erlaubt"
"Upload File","Datei hochladen"
"Upload Files","Dateien hochladen"
"URL Rewrite","URL-Rewrite"
"URL Rewrite Information","URL-Rewrite Informationen"
"URL Rewrite Management","URL-Rewrite-Management"
"Use All Available Attributes","Alle verfügbaren Attribute verwenden"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Used as Default For","Als Standard verwendet für"
"Used Currently For","Aktuell verwendet für"
"Use Default","Standard verwenden"
"Use Default Value","Standardwert verwenden"
"Use Default Variable Values","Standard-Variablenwerte verwenden"
"User Email","Benutzer-E-Mail"
"User ID","Benutzer-ID"
"User Info","Benutzerinfo"
"User Information","Benutzerinformationen"
"User Name","Benutzername"
"User name","Benutzername"
"User Name:","Benutzername:"
"User Name is required field.","Benutzername ist ein Pflichtfeld."
"User Password","Benutzerkennwort"
"User Role","Benutzerrolle"
"User Roles","Benutzerrollen"
"User Roles Information","Benutzerrollen Information"
"Users","Benutzer"
"User Type Resources","Benutzertyp-Ressourcen"
"Use Website","Website verwenden"
"Validation Results","Validierungsergebnisse"
"Value","Wert"
"Value Delimiter:","Wert Trennzeichen:"
"Variable","Variable"
"Variable Code","Variablencode"
"Variable Details","Variable Details"
"Variable has been deleted.","Variable wurde gelöscht."
"Variable HTML Value","Variabler HTML-Wert"
"Variable ID","Variable ID"
"Variable Name","Variablenname"
"Variable Name is incorrect.","Variablenname ist falsch."
"Variable Name is required field.","Variablenname ist ein Pflichtfeld."
"Variable Plain Value","Variabler Wert"
"Variables","Variablen"
"VAT Number is Invalid","USt-IdNr. ist ungültig"
"VAT Number is Valid","USt-IdNr. ist gültig"
"Verification Code","Bestätigungscode"
"Verifier code: %s","Überprüfungscode: %s"
"View Actions XML","Aktionen XML anzeigen"
"View Full Size","Volle Größe anzeigen"
"View Statistics For:","Statistiken anzeigen für:"
"Visibility:","Sichtbarkeit:"
"Visible","Sichtbar"
"Visitors","Besucher"
"Warning","Warnung"
"Warning! Empty value can cause problems with CSV format.","Warnung! Ein leerer Wert kann Probleme mit dem CSV-Format verursachen."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Warning: Please do not close the window during importing/exporting data","Warnung: Bitte schließen Sie das Fenster beim Importieren/Exportieren von Daten nicht"
"Watermark File for %s","Wasserzeichen Datei für %s"
"Web services","Webdienste"
"Website","Webseite"
"website(%s) scope","Website(%s) Bereich"
"What is this?","Was ist das?"
"Wishlist item is not loaded.","Wunschzettel ist nicht geladen."
"Wrong account specified.","Falsches Konto angegeben."
"Wrong billing agreement ID specified.","Falsche Zahlungsvereinbarungs-ID angegeben."
"Wrong column format.","Falsches Spaltenformat."
"Wrong field specified.","Falsches Feld angegeben."
"Wrong newsletter template.","Falsche Newsletter-Vorlage."
"Wrong quote item.","Falscher Zitateintrag."
"Wrong tab configuration.","Falsche Tab-Konfiguration."
"Wrong tab configuration for %s %s.","Falsche Tab-Konfiguration für %s %s."
"Wrong tag was specified.","Falscher Tag wurde angegeben."
"Wrong transaction ID specified.","Falsche Transaktions-ID angegeben."
"XML","XML"
"XML data is invalid.","XML-Daten sind ungültig."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML Objekt ist keine Instanz von ""\Maho\Simplexml\Element""."
"Year","Jahr"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 Permanent verschoben)"
"Yes (302 Found)","Ja (302 gefunden)"
"Yes (only price with tax)","Ja (nur Preis mit Steuern)"
"You cannot delete your own account.","Du kannst dein eigenes Konto nicht löschen."
"You did not sign in correctly or your account is temporarily disabled.","Sie haben sich nicht korrekt angemeldet oder Ihr Konto wurde vorübergehend deaktiviert."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Sie haben %s, %s und %s ungelesene Nachrichten. <a href=""%s"">Gehe zum Posteingang</a>."
"You have %s unread message(s).","Sie haben %s ungelesene Nachricht(en)."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Sie haben %s ungelesene Nachricht(en). <a href=""%s"">Gehen Sie zum Posteingang</a>."
"You have logged out.","Sie haben sich abgemeldet."
"You have not enough permissions to use this functionality.","Sie haben nicht genügend Berechtigungen, um diese Funktion zu nutzen."
"You need to specify order items.","Sie müssen Bestellartikel angeben."
"Your password has been updated.","Ihr Passwort wurde aktualisiert."
"Your password reset link has expired.","Der Link zum Zurücksetzen des Passworts ist abgelaufen."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Ihre PHP-Einstellungen erlauben es Ihnen, Dateien nicht mehr als %s gleichzeitig hochzuladen. Bitte ändern Sie die Werte post_max_size (derzeit %s) und upload_max_filesize (derzeit %s) in der php.ini wenn Sie größere Dateien hochladen möchten."
"YTD","JT"
"Zip/Postal Code","Postleitzahl"
"Zip/Postal Code:","Postleitzahl:"
" [deleted]"," [deleted]"
"[ deleted ]","[ gelöscht ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE ANWEND]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} wird nicht empfohlen, in einer Produktionsumgebung die Basis-Unsichere URL / Basis-sichere URL zu deklarieren. Es wird dringend empfohlen, diesen Wert in Ihrer Maho <a href=""%s"">Konfiguration</a> zu ändern."
