"# of Use","# χρήσης"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s από %s"
"%s and above","%s και άνω"
"%s Item(s)","%s Item(s)"
"To see product price, add this item to your cart. You can always remove it later.","Για να δείτε την τιμή του προϊόντος, προσθέστε αυτό το στοιχείο στο καλάθι σας. Μπορείτε πάντα να το αφαιρέσετε αργότερα."
"Total incl. Tax: %1$s","Σύνολο με ΦΠΑ: %1$s"
"Total of %d record(s) have been deleted.","Σύνολο %d εγγραφή(ες) έχουν διαγραφεί."
"Total of %d record(s) have been updated.","Σύνολο του %d εγγραφή(ες) έχουν ενημερωθεί."
"Total of %d record(s) were updated","Σύνολο %d εγγραφή(ες) ενημερώθηκαν"
"Type","Τύπος"
"Unable to complete this request.","Δεν είναι δυνατή η ολοκλήρωση αυτού του αιτήματος."
"Unable to find an attribute to delete.","Δεν είναι δυνατή η εύρεση χαρακτηριστικού για διαγραφή."
"Unable to find a search term to delete.","Δεν είναι δυνατή η εύρεση όρου αναζήτησης για διαγραφή."
"Unable to get the product ID.","Δεν είναι δυνατή η λήψη του ID προϊόντος."
"Unassigned Attributes","Μη Ανατεθειμένα Χαρακτηριστικά"
"Unknown EAV indexer type ""%s"".","Άγνωστος τύπος ευρετηρίου EAV ""%s""."
"unselect all","αποεπιλογή όλων"
"Unsupported product type ""%s"".","Μη υποστηριζόμενος τύπος προϊόντος ""%s""."
"Up-sells","Up-sells"
"Update","Ενημέρωση"
"Update assigned product","Ενημέρωση αντιστοιχισμένου προϊόντος"
"Update attribute","Ενημέρωση χαρακτηριστικού"
"Update Attributes","Ενημέρωση Χαρακτηριστικών"
"Update attributes","Ενημέρωση χαρακτηριστικών"
"Update category","Ενημέρωση κατηγορίας"
"Update custom option of product","Ενημέρωση προσαρμοσμένης επιλογής προϊόντος"
"Update product","Ενημέρωση προϊόντος"
"Update product image","Ενημέρωση εικόνας προϊόντος"
"Update product link","Ενημέρωση συνδέσμου προϊόντος"
"Update product tier prices","Ενημέρωση τιμών βαθμίδας προϊόντων"
"Update Tier Price","Ενημέρωση Βαθμίδας Τιμής"
"Update value of custom option","Ενημέρωση τιμής προσαρμοσμένης επιλογής"
"Upload new product image ","Ανεβάστε νέα εικόνα προϊόντος "
"URL Rewrite Management","Διαχείριση Διευθύνσεων Επανεγγραφής Url"
"Use Canonical Link Meta Tag For Categories","Χρήση Μετα-Ετικέτας Κανονικών Συνδέσμων Για Κατηγορίες"
"Use Canonical Link Meta Tag For Products","Χρήση Μετα-Ετικέτας Κανονικών Συνδέσμων Για Προϊόντα"
"Use Categories Path for Product URLs","Χρήση Διαδρομής Κατηγοριών για URL προϊόντων"
"Use config","Χρήση ρυθμίσεων"
"Use Config Settings","Χρήση Ρυθμίσεων Ρυθμίσεων"
"Use default","Χρήση προεπιλογής"
"Use Default Value","Χρήση Προκαθορισμένης Τιμής"
"Used for Sorting in Product Listing","Χρησιμοποιείται για την Ταξινόμηση στην Λίστα Προϊόντων"
"Used in Product Listing","Χρησιμοποιείται στην Λίστα Προϊόντων"
"Used to fill the frame when Keep Frame is enabled","Χρησιμοποιείται για να γεμίσει το πλαίσιο όταν είναι ενεργοποιημένο το Keep Frame"
"Use Flat Catalog Category","Χρήση Επίπεδης Κατηγορίας Καταλόγου"
"Use Flat Catalog Product","Χρήση Επίπεδων Προϊόντων Καταλόγου"
"Use for Promo Rule Conditions","Χρήση για Όροι Κανόνα Promo"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Χρησιμοποιήστε τετραψήφιο σχήμα έτους. Χρησιμοποιείται για min/max χαρακτηριστικά στις εγχώριες εισροές ημερομηνίας."
"Use in Advanced Search","Χρήση στην Σύνθετη Αναζήτηση"
"Use In Layered Navigation","Χρήση Στην Πολυεπίπεδη Πλοήγηση"
"Use in Layered Navigation","Χρήση στην πολυεπίπεδη πλοήγηση"
"Use in Layered Navigation<br>(Can be used only with catalog input type 'Dropdown')","Χρήση στην πολυεπίπεδη πλοήγηση<br>(Μπορεί να χρησιμοποιηθεί μόνο με τον τύπο εισόδου καταλόγου 'Dropdown')"
"Use in Quick Search","Χρήση στη γρήγορη αναζήτηση"
"Use In Search Results Layered Navigation","Χρήση Στα Αποτελέσματα Αναζήτησης Πολυεπίπεδη Πλοήγηση"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Χρήση στατικών URL για περιεχόμενο πολυμέσων στο WYSIWYG για κατάλογο"
"Use To Create Configurable Product","Χρησιμοποιήστε Για Να Δημιουργήσετε Διαμορφώσιμο Προϊόν"
"Use Tree Like Category Sitemap","Χρήση Δέντρου Σαν Κατηγορία Χάρτη Ιστοσελίδας"
"Value for ""%s"" is invalid.","Η τιμή για το ""%s"" δεν είναι έγκυρη."
"Value for ""%s"" is invalid: %s","Η τιμή για το ""%s"" δεν είναι έγκυρη: %s"
"Varchar","Varchar"
"View All Products","Προβολή Όλων Των Προϊόντων"
"View as","Προβολή ως"
"View Details","Προβολή Λεπτομερειών"
"View image %s","Προβολή εικόνας %s"
"Virtual","Εικονικό"
"Visibility","Ορατότητα"
"Visible","Ορατό"
"Visible on Catalog Pages on Front-end","Ορατό στις Σελίδες Καταλόγου στο Front-end"
"Visible on Product View Page on Front-end","Ορατό στη σελίδα προβολής προϊόντος στο Front-end"
"Watermark","Υδατογράφημα"
"Watermark Opacity, Percent","Αδιαφάνεια Υδατογραφήματος, Ποσοστό"
"Watermark Position","Θέση Υδατογραφήματος"
"Website","Ιστοσελίδα"
"Websites","Ιστοσελίδες"
"What's this?","Τι είναι αυτό?"
"When enabled, associated products are automatically recalculated when reindex runs.","Όταν είναι ενεργοποιημένο, τα συσχετιζόμενα προϊόντα επανυπολογίζονται αυτόματα όταν εκτελείται η επαναδεικτοποίηση."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Αν θα εμφανίζεται η επιλογή ""Όλα"" στο αναπτυσσόμενο μενού ""Εμφάνιση X Ανά σελίδα""."
"Will make search for the query above return results for this search.","Θα κάνει αναζήτηση για το παραπάνω ερώτημα να επιστρέψει αποτελέσματα για αυτή την αναζήτηση."
"Wrong BuyRequest instance in options group.","Λάθος παρουσία αιτήματος αγοράς στην ομάδα επιλογών."
"Wrong configuration item instance in options group.","Λάθος παρουσία στοιχείου ρύθμισης παραμέτρων σε ομάδα επιλογών."
"Wrong configuration item option instance in options group.","Λάθος παρουσία επιλογής στοιχείου ρύθμισης παραμέτρων σε ομάδα επιλογών."
"Wrong option instance type in options group.","Λάθος τύπος παρουσίας επιλογής σε ομάδα επιλογών."
"Wrong option type to get group instance.","Λάθος επιλογή πληκτρολογήστε για να πάρετε την παρουσία ομάδας."
"Wrong product instance type in options group.","Λάθος τύπος παρουσίας προϊόντος στην ομάδα επιλογών."
"Wrong product type filter specified","Καθορίστηκε λάθος φίλτρο τύπου προϊόντος"
"Wrong product type to extract configurable options.","Λάθος τύπος προϊόντος για την εξαγωγή διαμορφώσιμων επιλογών."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","Εύρος Έτους"
"Yes","Ναι"
"Yes, with images","Ναι, με εικόνες"
"You have no items to compare.","Δεν έχετε αντικείμενα για σύγκριση."
"You may also be interested in the following product(s)","Μπορεί επίσης να ενδιαφέρεστε για τα ακόλουθα προϊόν(τα)"
"You saved the search term.","Αποθηκεύσατε τον όρο αναζήτησης."
