"%d product(s) were updated","%d προϊόν(τα) ενημερώθηκαν"
"%s (Default Template from Locale)","%s (Προκαθορισμένο πρότυπο από την τοπική γλώσσα)"
"%s cache type(s) disabled.","Τύπος(οι) προσωρινής μνήμης %s απενεργοποιήθηκε."
"%s cache type(s) enabled.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ενεργοποιήθηκε."
"%s cache type(s) refreshed.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ανανεώθηκε."
"Refresh Roles","Ανανέωση Ρόλων"
"Refresh Statistics","Ανανέωση Στατιστικών"
"Region","Περιοχή"
"Region/State","Περιοχή/Πολιτεία"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Η εγγραφή ενός κωδικού πρόσβασης απενεργοποιεί αυτόματα την ταυτοποίηση κωδικού πρόσβασης. Για λόγους ασφαλείας, σας συνιστούμε να το κρατήσετε απενεργοποιημένο, αν και μπορείτε να το ενεργοποιήσετε ξανά εάν είναι απαραίτητο."
"Register New Passkey","Εγγραφή Νέου Κωδικού Πρόσβασης"
"Register Passkey","Εγγραφή Κωδικού Πρόσβασης"
"Regular Price:","Κανονική Τιμή:"
"Reject","Απόρριψη"
"Rejection Of Authorization","Απόρριψη Εξουσιοδότησης"
"Reject token authorization for admin","Απόρριψη εξουσιοδότησης διακριτικού για διαχειριστή"
"Reject token authorization Pop Up for admin","Απόρριψη εξουσιοδότησης διακριτικού Pop Up για διαχειριστή"
"Remote FTP","Απομακρυσμένο FTP"
"Remove","Αφαίρεση"
"Remove Passkey","Αφαίρεση Κωδικού Πρόσβασης"
"Rename","Μετονομασία"
"Reports","Αναφορές"
"Request Path","Αίτηση Διαδρομής"
"Required","Απαιτείται"
"Reset","Reset"
"Reset a Password","Επαναφορά κωδικού πρόσβασης"
"Reset Filter","Επαναφορά Φίλτρου"
"Reset Password","Επαναφορά Κωδικού Πρόσβασης"
"Resource Access","Πρόσβαση Πόρων"
"Resources","Πόροι"
"REST (legacy)","REST (κληρονομιά)"
"REST Roles","Ρόλοι REST"
"Results","Αποτελέσματα"
"Retrieve Password","Ανάκτηση Κωδικού"
"Return Html Version","Επιστροφή Html Έκδοσης"
"Revenue","Έσοδα"
"Reviews","Κριτικές"
"Reviews and Ratings","Κριτικές και βαθμολογίες"
"Rewrite Rules","Κανόνες Επανεγγραφής"
"Role ID","Id Ρόλου"
"Role Info","Πληροφορίες Ρόλου"
"Role Information","Πληροφορίες Ρόλου"
"Role Name","Όνομα Ρόλου"
"Role Resources","Πόροι Ρόλου"
"Roles","Ρόλοι"
"Roles Resources","Πόροι Ρόλων"
"Role Users","Ρόλος Χρηστών"
"Root Category","Βασική Κατηγορία"
"Run","Εκτέλεση"
"Running... Kill","Εκτέλεση... Τερματισμός"
"Run Profile","Εκτέλεση Προφίλ"
"Run Profile in Popup","Εκτέλεση προφίλ στο αναδυόμενο παράθυρο"
"Sales","Πωλήσεις"
"Sales Overview","Επισκόπηση Πωλήσεων"
"Sales Report","Έκθεση Πωλήσεων"
"Samples","Δείγματα"
"Save","Αποθήκευση"
"Save & Generate","Αποθήκευση & Δημιουργία"
"Save Account","Αποθήκευση Λογαριασμού"
"Save and Continue Edit","Αποθήκευση και συνέχεια επεξεργασίας"
"Save Block","Αποθήκευση Μπλοκ"
"Save Cache Settings","Αποθήκευση Ρυθμίσεων Προσωρινής Μνήμης"
"Save Config","Αποθήκευση Ρυθμίσεων"
"Save Currency Rates","Αποθήκευση Ισοτιμιών Νομισμάτων"
"Save Profile","Αποθήκευση Προφίλ"
"Save Role","Αποθήκευση Ρόλου"
"Save Template","Αποθήκευση Προτύπου"
"Save User","Αποθήκευση Χρήστη"
"Save Variable","Αποθήκευση Μεταβλητής"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Σαρώστε αυτόν τον κωδικό QR με την εφαρμογή ελέγχου ταυτότητας (Google Authenticator, Authy, κλπ.)"
"Search","Αναζήτηση"
"Search entire store here...","Αναζήτηση σε ολόκληρο το κατάστημα εδώ..."
"Search Index","Ευρετήριο Αναζήτησης"
"Search results","Αποτελέσματα αναζήτησης"
"Search Term","Όρος Αναζήτησης"
"Search Terms","Όροι Αναζήτησης"
"Select","Επιλογή"
"Select All","Επιλογή Όλων"
"Select Category","Επιλογή Κατηγορίας"
"selected","επιλεγμένα"
"Selected allowed currency ""%s"" is not available in installed currencies.","Επιλεγμένο επιτρεπόμενο νόμισμα ""%s"" δεν είναι διαθέσιμο σε εγκατεστημένα νομίσματα."
"Selected base currency is not available in installed currencies.","Το επιλεγμένο νόμισμα βάσης δεν είναι διαθέσιμο σε εγκατεστημένα νομίσματα."
"Selected default display currency is not available in allowed currencies.","Επιλεγμένο προεπιλεγμένο νόμισμα εμφάνισης δεν είναι διαθέσιμο σε επιτρεπόμενα νομίσματα."
"Selected default display currency is not available in installed currencies.","Επιλεγμένο προεπιλεγμένο νόμισμα εμφάνισης δεν είναι διαθέσιμο σε εγκατεστημένα νομίσματα."
"Select Range","Επιλογή Εύρους"
"Self-assigned roles cannot be deleted.","Αυτο-εκχωρημένοι ρόλοι δεν μπορούν να διαγραφούν."
"Send","Αποστολή"
"Sender","Αποστολέας"
"Sending...","Αποστολή..."
"Separate Email","Ξεχωριστό Email"
"Serialized data is incorrect","Σειριακά δεδομένα είναι εσφαλμένα"
"Shipment #%s comment added","Σχόλιο αποστολής #%s προστέθηκε"
"Shipment #%s created","Αποστολή #%s δημιουργήθηκε"
"Shipment Comments","Σχόλια Αποστολής"
"Shipment History","Ιστορικό Αποστολής"
"Shipments","Αποστολές"
"Shipping","Μεταφορικά"
"Shipping Address","Διεύθυνση Αποστολής"
"Shipping Address: ","Διεύθυνση Αποστολής: "
"Shipping address selection is not applicable","Η επιλογή διεύθυνσης αποστολής δεν είναι εφαρμόσιμη"
"Shipping method must be specified.","Πρέπει να καθοριστεί η μέθοδος αποστολής."
"Shipping method selection is not applicable","Η επιλογή μεθόδου αποστολής δεν είναι εφαρμόσιμη"
"Shipping Origin","Προέλευση Αποστολής"
"Shipping Price","Τιμή Αποστολής"
"Shopping Cart","Καλάθι Αγορών"
"Shopping Cart from %s","Καλάθι Αγορών από %s"
"Shopping Cart Price Rules","Κανόνες Τιμών Καλαθιού Αγορών"
"Show By","Εμφάνιση Από"
"Show Report For:","Εμφάνιση Αναφοράς Για:"
"Show Reviews","Εμφάνιση Κριτικών"
"Sitemap Information","Πληροφορίες Χάρτη Ιστότοπου"
"Size for %s","Μέγεθος για %s"
"Skip Category Selection","Παράκαμψη Επιλογής Κατηγορίας"
"SKU","SKU"
"SKU:","SKU:"
"SOAP / XML-RPC (legacy)","SOAP / XML-RPC (legacy)"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Μερικά στοιχεία σε αυτή τη διαταγή έχουν διαφορετικούς τύπους τιμολογίων και αποστολής. Μπορείτε να δημιουργήσετε την αποστολή μόνο μετά τη δημιουργία του τιμολογίου."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Μερικά από τα ταξινομημένα στοιχεία δεν υπάρχουν πλέον στον κατάλογο και θα αφαιρεθούν αν προσπαθήσετε να επεξεργαστείτε την παραγγελία."
"Special Price:","Ειδική Τιμή:"
"Specific Countries","Συγκεκριμένες Χώρες"
"Specified","Καθορίστηκε"
"Specified profile does not exist.","Το καθορισμένο προφίλ δεν υπάρχει."
"Spreadsheet Name:","Όνομα Φύλλο:"
"Start Date","Ημερομηνία Έναρξης"
"Starting profile execution, please wait...","Έναρξη εκτέλεσης προφίλ, παρακαλώ περιμένετε..."
"State/Province:","Νομός/Επαρχία:"
"Static Blocks","Στατικά Μπλοκ"
"Status","Κατάσταση"
"Status:","Κατάσταση:"
"Stock notification was saved.","Ειδοποίηση αποθέματος αποθηκεύτηκε."
"Stock Quantity:","Ποσότητα Αποθέματος:"
"Store","Κατάστημα"
"store(%s) scope","εμβέλεια καταστήματος%s"
"Store:","Κατάστημα:"
"Stores","Καταστήματα"
"Store View","Προβολή Καταστήματος"
"Subject","Θέμα"
"Submit","Υποβολή"
"Subtotal","Υποσύνολο"
"successful","επιτυχής"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Μόνο"
"System","Σύστημα"
"System busy","Απασχολημένο σύστημα"
"Tags","Ετικέτες"
"Target Path","Διαδρομή Προορισμού"
"Tax","Φόρος"
"Template","Πρότυπο"
"Template Content","Περιεχόμενο Προτύπου"
"Template Information","Πληροφορίες Προτύπου"
"Template Name","Όνομα Προτύπου"
"Template Styles","Template Styles"
"Template Subject","Θέμα Προτύπου"
"Template Type","Τύπος Προτύπου"
"Temporary (302)","Προσωρινό (302)"
"Terms and Conditions","Όροι και Προϋποθέσεις"
"Test email sent successfully to %s.","Το δοκιμαστικό email στάλθηκε με επιτυχία στο %s."
"Test Email Settings","Δοκιμαστικές Ρυθμίσεις Email"
"Text","Κείμενο"
"The account has been saved.","Ο λογαριασμός έχει αποθηκευτεί."
"The attribute set has been removed.","Το σύνολο χαρακτηριστικών έχει αφαιρεθεί."
"The billing agreement has been canceled.","Η συμφωνία χρέωσης έχει ακυρωθεί."
"The billing agreement has been deleted.","Η συμφωνία χρέωσης έχει διαγραφεί."
"The block has been saved.","Το μπλοκ έχει αποθηκευτεί."
"The cache storage has been flushed.","Η μνήμη cache έχει εκκαθαριστεί."
"The carrier needs to be specified.","Πρέπει να καθοριστεί ο μεταφορέας."
"The catalog index has been rebuilt.","Ο δείκτης καταλόγου έχει ανακατασκευαστεί."
"The CatalogInventory Stock Status has been rebuilt.","Η κατάσταση των Αποθεμάτων Καταλόγου έχει ανακατασκευαστεί."
"The catalog rewrites have been refreshed.","Οι επανεγγραφές καταλόγου έχουν ανανεωθεί."
"The Catalog Rewrites were refreshed.","Οι επανεγγραφές καταλόγου ανανεώθηκαν."
"The Comment Text field cannot be empty.","Το πεδίο Σχόλιο Κείμενο δεν μπορεί να είναι κενό."
"The configurable swatches image cache was cleaned.","Το διαμορφώσιμο swatches cache εικόνας καθαρίστηκε."
"The configuration has been saved.","Οι ρυθμίσεις έχουν αποθηκευτεί."
"The credit memo has been canceled.","Το πιστωτικό υπόμνημα ακυρώθηκε."
"The credit memo has been created.","Το πιστωτικό υπόμνημα έχει δημιουργηθεί."
"The credit memo has been voided.","Το πιστωτικό υπόμνημα ακυρώθηκε."
"The credit memo no longer exists.","Το πιστωτικό υπόμνημα δεν υπάρχει πια."
" The customer does not exist in the system anymore."," Ο πελάτης δεν υπάρχει πλέον στο σύστημα."
"The customer has been deleted.","Ο πελάτης έχει διαγραφεί."
"The customer has been saved.","Ο πελάτης έχει αποθηκευτεί."
"The custom variable has been deleted.","Η προσαρμοσμένη μεταβλητή έχει διαγραφεί."
"The custom variable has been saved.","Η προσαρμοσμένη μεταβλητή έχει αποθηκευτεί."
"The design change has been deleted.","Η αλλαγή σχεδιασμού έχει διαγραφεί."
"The design change has been saved.","Η αλλαγή σχεδιασμού έχει αποθηκευτεί."
"The email address has been updated successfully.","Η διεύθυνση ηλεκτρονικού ταχυδρομείου έχει ενημερωθεί με επιτυχία."
"The email address is empty.","Η διεύθυνση ηλεκτρονικού ταχυδρομείου είναι κενή."
"The email template has been deleted.","Το πρότυπο email έχει διαγραφεί."
"The email template has been saved.","Το πρότυπο ηλεκτρονικού ταχυδρομείου έχει αποθηκευτεί."
"The flat catalog category has been rebuilt.","Η επίπεδη κατηγορία καταλόγου έχει ανακατασκευαστεί."
"The Flat Catalog Product was rebuilt","Το Επίπεδη Κατάλογος Προϊόν ξαναχτίστηκε"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Οι παρακάτω πόροι ρόλων API δεν είναι πλέον διαθέσιμοι στο σύστημα: %s. Μπορείτε να τους διαγράψετε από το <a href=""%s"">κάνοντας κλικ εδώ</a>."
"The following role resource(s) are not orphaned: %s","Οι ακόλουθοι πόροι(οι) ρόλων δεν είναι ορφανά: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Οι παρακάτω πόροι ρόλων δεν είναι πλέον διαθέσιμοι στο σύστημα: %s. Μπορείτε να τους διαγράψετε με το <a href=""%s"">κάνοντας κλικ εδώ</a>."
"The group node name must be specified with field node name.","Το όνομα του κόμβου της ομάδας πρέπει να καθοριστεί με όνομα κόμβου πεδίου."
"The image cache was cleaned.","Καθαρίστηκε η κρύπτη της εικόνας."
"The image cache was cleared.","Η προσωρινή μνήμη εικόνας εκκαθαρίστηκε."
"The invoice and shipment have been created.","Το τιμολόγιο και η αποστολή έχουν δημιουργηθεί."
"The invoice cannot be canceled.","Το τιμολόγιο δεν μπορεί να ακυρωθεί."
"The invoice cannot be captured.","Το τιμολόγιο δεν μπορεί να συλληφθεί."
"The invoice cannot be voided.","Το τιμολόγιο δεν μπορεί να ακυρωθεί."
"The invoice has been canceled.","Το τιμολόγιο έχει ακυρωθεί."
"The invoice has been captured.","Το τιμολόγιο έχει καταγραφεί."
"The invoice has been created.","Το τιμολόγιο έχει δημιουργηθεί."
"The invoice has been voided.","Το τιμολόγιο έχει ακυρωθεί."
"The invoice no longer exists.","Το τιμολόγιο δεν υπάρχει πια."
"The item %s (SKU %s) does not exist in the catalog anymore.","Το στοιχείο %s (SKU %s) δεν υπάρχει πλέον στον κατάλογο."
"The Layered Navigation indexing has been queued.","Το ευρετήριο πολυεπίπεδη πλοήγησης έχει τεθεί σε ουρά."
"The Layered Navigation indexing queue has been canceled.","Η πολυεπίπεδη πλοήγησης ευρετηρίασης ουρά έχει ακυρωθεί."
"The Layered Navigation indices were refreshed.","Οι δείκτες πλοήγησης πολυεπίπεδη ήταν ανανεωμένοι."
"The Layered Navigation process has been queued to be killed.","Η διαδικασία πλοήγησης πολυεπίπεδη έχει τεθεί σε αναμονή που θα σκοτωθεί."
"The Maho cache has been flushed and updates applied.","Η κρύπτη Maho έχει εκκαθαριστεί και εφαρμόζονται ενημερώσεις."
"The minified CSS/JS cache was cleaned.","Καθαρίστηκε η μικροποιημένη κρύπτη CSS/JS."
"The order does not allow creating an invoice.","Η παραγγελία δεν επιτρέπει τη δημιουργία τιμολογίου."
"The order no longer exists.","Η παραγγελία δεν υπάρχει πλέον."
"The profile has been deleted.","Το προφίλ έχει διαγραφεί."
"The profile has been saved.","Το προφίλ έχει αποθηκευτεί."
"The profile has been updated.","Το προφίλ έχει ενημερωθεί."
"The profile has no changes.","Το προφίλ δεν έχει αλλαγές."
"The profile you are trying to save no longer exists","Το προφίλ που προσπαθείτε να αποθηκεύσετε δεν υπάρχει πλέον"
"The rating has been deleted.","Η αξιολόγηση έχει διαγραφεί."
"The rating has been saved.","Η αξιολόγηση έχει αποθηκευτεί."
"There is an error in one of the option rows.","Υπάρχει ένα σφάλμα σε μία από τις σειρές επιλογής."
"The role has been deleted.","Ο ρόλος έχει διαγραφεί."
"The role has been saved.","Ο ρόλος έχει αποθηκευτεί."
"The role has been successfully saved.","Ο ρόλος έχει αποθηκευτεί με επιτυχία."
"The roles have been refreshed.","Οι ρόλοι έχουν ανανεωθεί."
"The search index has been rebuilt.","Το ευρετήριο αναζήτησης έχει ανακατασκευαστεί."
"The shipment has been created.","Η αποστολή έχει δημιουργηθεί."
"The shipment has been sent.","Η αποστολή έχει σταλεί."
"The shipment no longer exists.","Η αποστολή δεν υπάρχει πλέον."
"The shipping label has been created.","Η ετικέτα αποστολής έχει δημιουργηθεί."
"The Special Price is active only when lower than the Actual Price.","Η Ειδική Τιμή είναι ενεργή μόνο όταν είναι χαμηλότερη από την πραγματική τιμή."
"The tag has been deleted.","Η ετικέτα έχει διαγραφεί."
"The tag has been saved.","Η ετικέτα έχει αποθηκευτεί."
"The transaction details have been updated.","Οι λεπτομέρειες της συναλλαγής έχουν ενημερωθεί."
"The URL Rewrite has been deleted.","Η διεύθυνση επανεγγραφής URL έχει διαγραφεί."
"The URL Rewrite has been saved.","Η διεύθυνση επανεγγραφής URL έχει αποθηκευτεί."
"The user has been deleted.","Ο χρήστης έχει διαγραφεί."
"The user has been saved.","Ο χρήστης έχει αποθηκευτεί."
"The variable has been saved.","Η μεταβλητή έχει αποθηκευτεί."
"This Account is","Αυτός ο λογαριασμός είναι"
"This account is","Αυτός ο λογαριασμός είναι"
"This account is inactive.","Αυτός ο λογαριασμός είναι ανενεργός."
"This attribute set does not have attributes which we can use for configurable product","Αυτό το σύνολο χαρακτηριστικών δεν έχει χαρακτηριστικά που μπορούμε να χρησιμοποιήσουμε για διαμορφώσιμο προϊόν"
"This block no longer exists.","Αυτό το μπλοκ δεν υπάρχει πλέον."
"This Email template no longer exists.","Αυτό το πρότυπο Email δεν υπάρχει πλέον."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Αυτό είναι ένα δοκιμαστικό κατάστημα. Οποιεσδήποτε παραγγελίες τοποθετηθούν μέσω αυτού του καταστήματος δεν θα τιμηθούν ή δεν θα ολοκληρωθούν."
"This is a required field.","Αυτό είναι ένα απαιτούμενο πεδίο."
"This is a test email from Maho admin.","Αυτό είναι ένα email δοκιμής από Maho admin."
"This product is currently disabled.","Αυτό το προϊόν είναι προς το παρόν απενεργοποιημένο."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Αυτή η αναφορά εξαρτάται από τη διαμόρφωση της ζώνης ώρας. Μόλις αλλάξει η ζώνη ώρας, τα στατιστικά της διάρκειας ζωής πρέπει να ανανεωθούν."
"This Role no longer exists","Αυτός ο ρόλος δεν υπάρχει πλέον"
"This Role no longer exists.","Αυτός ο ρόλος δεν υπάρχει πλέον."
"This section is not allowed.","Αυτή η ενότητα δεν επιτρέπεται."
"This user no longer exists.","Αυτός ο χρήστης δεν υπάρχει πια."
"This variable no longer exists.","Αυτή η μεταβλητή δεν υπάρχει πλέον."
"Time","Ώρα"
"To","Προς"
"to","προς"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Για να ακυρώσετε εκκρεμείς εγκρίσεις και αποδέσμευση ποσών που έχουν ήδη επεξεργαστεί κατά τη διάρκεια αυτής της πληρωμής, κάντε κλικ στο κουμπί Ακύρωση."
"Tools","Εργαλεία"
"Top 5 Search Terms","Κορυφαίοι 5 Όροι Αναζήτησης"
"Total","Σύνολο"
"Total Invoiced","Σύνολο Τιμολογημένων"
"Total of %d record(s) have been deleted.","Σύνολο %d εγγραφή(ες) έχουν διαγραφεί."
"Total of %d record(s) have been updated.","Σύνολο του %d εγγραφή(ες) έχουν ενημερωθεί."
"Total of %d record(s) were deleted","Σύνολο %d εγγραφή(ες) διαγράφηκαν"
"Total of %d record(s) were deleted.","Σύνολο του %d εγγραφή(ες) διαγράφηκαν."
"Total of %d record(s) were updated","Σύνολο %d εγγραφή(ες) ενημερώθηκαν"
"Total of %d record(s) were updated.","Σύνολο %d εγγραφή(ες) ενημερώθηκαν."
"Total of %d URL rewrite(s) have been deleted.","Σύνολο %d επανεγγραφή URL έχουν διαγραφεί."
"Total Order Amount","Συνολικό Ποσό Παραγγελίας"
"Total Refunded","Σύνολο Επιστροφής"
"Tracking number %s for %s assigned","Αριθμός παρακολούθησης %s για %s ανατέθηκε"
"Tracking number cannot be empty.","Αριθμός παρακολούθησης δεν μπορεί να είναι κενός."
"Track Order","Παρακολούθηση Παραγγελίας"
"Track this shipment","Παρακολούθηση αυτής της αποστολής"
"Trailing Slash Behavior","Συμπεριφορά Κάθετου"
"Transactional Emails","Email Συναλλαγών"
"Transaction Data","Δεδομένα Συναλλαγής"
"Transaction Details","Λεπτομέρειες Συναλλαγής"
"Transaction ID","Ταυτότητα Συναλλαγής"
"Transactions","Συναλλαγές"
"Transaction Type","Τύπος Συναλλαγής"
"Two-Factor Authentication","Έλεγχος Ταυτότητας Δύο Παραγόντων"
"Type","Τύπος"
"Type:","Τύπος:"
"Unable to cancel the credit memo.","Δεν είναι δυνατή η ακύρωση του πιστωτικού υπομνήματος."
"Unable to find a block to delete.","Δεν είναι δυνατή η εύρεση ενός μπλοκ για διαγραφή."
"Unable to find a Email Template to delete.","Δεν είναι δυνατή η εύρεση ενός προτύπου ηλεκτρονικού ταχυδρομείου για διαγραφή."
"Unable to find a tag to delete.","Δεν είναι δυνατή η εύρεση ετικέτας για διαγραφή."
"Unable to find a user to delete.","Δεν είναι δυνατή η εύρεση χρήστη για διαγραφή."
"Unable to find a variable to delete.","Δεν είναι δυνατή η εύρεση μεταβλητής για διαγραφή."
"Unable to initialize import model","Αδυναμία αρχικοποίησης μοντέλου εισαγωγής"
"Unable to refresh lifetime statistics.","Δεν είναι δυνατή η ανανέωση στατιστικών διάρκειας ζωής."
"Unable to refresh recent statistics.","Δεν είναι δυνατή η ανανέωση πρόσφατων στατιστικών."
"Unable to save the cron expression.","Δεν είναι δυνατή η αποθήκευση της έκφρασης cron."
"Unable to save the invoice.","Δεν είναι δυνατή η αποθήκευση του τιμολογίου."
"Unable to send the invoice email.","Δεν είναι δυνατή η αποστολή του email τιμολογίου."
"Unable to send the shipment email.","Δεν είναι δυνατή η αποστολή του email αποστολής."
"Unable to update transaction details.","Δεν είναι δυνατή η ενημέρωση των λεπτομερειών συναλλαγής."
"Unable to void the credit memo.","Δεν είναι δυνατή η ακύρωση του πιστωτικού υπομνήματος."
"Unknown","Άγνωστο"
"Unlimited","Απεριόριστο"
"Update","Ενημέρωση"
"Updated At","Ενημερώθηκε Στις"
"Uploaded file is larger than %.2f kilobytes allowed by server","Το μεταφορτωμένο αρχείο είναι μεγαλύτερο από το %.2f kilobytes που επιτρέπεται από το διακομιστή"
"Upload File","Μεταφόρτωση Αρχείου"
"Upload Files","Μεταφόρτωση Αρχείων"
"URL Rewrite","Επανεγγραφή URL"
"URL Rewrite Information","Πληροφορίες Url Επανεγγραφή"
"URL Rewrite Management","Διαχείριση Διευθύνσεων Επανεγγραφής Url"
"Use All Available Attributes","Χρήση Όλων Των Διαθέσιμων Χαρακτηριστικών"
"Use Config Settings","Χρήση Ρυθμίσεων Ρυθμίσεων"
"Used as Default For","Χρησιμοποιείται ως προεπιλογή για"
"Used Currently For","Χρησιμοποιείται Προς Το Τρέχον Για"
"Use Default","Χρήση Προεπιλογής"
"Use Default Value","Χρήση Προκαθορισμένης Τιμής"
"Use Default Variable Values","Χρήση Προεπιλεγμένων Τιμών Μεταβλητών"
"User Email","Email Χρήστη"
"User ID","Id Χρήστη"
"User Info","Πληροφορίες Χρήστη"
"User Information","Πληροφορίες Χρήστη"
"User Name","Όνομα Χρήστη"
"User name","Όνομα χρήστη"
"User Name:","Όνομα Χρήστη:"
"User Name is required field.","Το όνομα χρήστη είναι υποχρεωτικό πεδίο."
"User Password","Κωδικός Πρόσβασης Χρήστη"
"User Role","Ρόλος Χρήστη"
"User Roles","Ρόλοι Χρήστη"
"User Roles Information","Πληροφορίες Ρόλων Χρήστη"
"Users","Χρήστες"
"User Type Resources","Πόροι Τύπου Χρήστη"
"Use Website","Χρήση Ιστοσελίδας"
"Validation Results","Αποτελέσματα Επικύρωσης"
"Value","Τιμή"
"Value Delimiter:","Οριοθέτης Αξίας:"
"Variable","Μεταβλητή"
"Variable Code","Μεταβλητή Κώδικα"
"Variable Details","Λεπτομέρειες Μεταβλητής"
"Variable has been deleted.","Η μεταβλητή έχει διαγραφεί."
"Variable HTML Value","Τιμή Μεταβλητής HTML"
"Variable ID","ID Μεταβλητής"
"Variable Name","Όνομα Μεταβλητής"
"Variable Name is incorrect.","Το όνομα της μεταβλητής είναι λανθασμένο."
"Variable Name is required field.","Το Όνομα Μεταβλητής είναι υποχρεωτικό πεδίο."
"Variable Plain Value","Τιμή Απλής Μεταβλητής"
"Variables","Μεταβλητές"
"VAT Number is Invalid","Μη έγκυρος αριθμός ΑΦΜ"
"VAT Number is Valid","Το ΑΦΜ είναι έγκυρο"
"Verification Code","Κωδικός Επαλήθευσης"
"Verifier code: %s","Κωδικός επαλήθευσης: %s"
"View Actions XML","Xml Ενεργειών Προβολής"
"View Full Size","Προβολή Πλήρους Μεγέθους"
"View Statistics For:","Προβολή Στατιστικών Για:"
"Visibility:","Ορατότητα:"
"Visible","Ορατό"
"Visitors","Επισκέπτες"
"Warning","Προειδοποίηση"
"Warning! Empty value can cause problems with CSV format.","Προσοχή! Κενή τιμή μπορεί να προκαλέσει προβλήματα με τη μορφή CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Προειδοποίηση!\r\nΑυτή η ενέργεια θα αφαιρέσει αυτόν τον χρήστη από τον ρόλο που έχει ήδη ανατεθεί\r\nΕίσαι σίγουρος?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Warning: Please do not close the window during importing/exporting data","Προειδοποίηση: Παρακαλώ μην κλείσετε το παράθυρο κατά την εισαγωγή/εξαγωγή δεδομένων"
"Watermark File for %s","Αρχείο υδατογραφήματος για %s"
"Web services","Υπηρεσίες διαδικτύου"
"Website","Ιστοσελίδα"
"website(%s) scope","ιστοσελίδα(%s) πεδίο εφαρμογής"
"What is this?","Τι είναι αυτό?"
"Wishlist item is not loaded.","Το στοιχείο της λίστας επιθυμιών δεν έχει φορτωθεί."
"Wrong account specified.","Καθορίστηκε λάθος λογαριασμός."
"Wrong billing agreement ID specified.","Δόθηκε λάθος ID συμφωνίας χρέωσης."
"Wrong column format.","Λάθος μορφή στήλης."
"Wrong field specified.","Καθορίστηκε λάθος πεδίο."
"Wrong newsletter template.","Λάθος πρότυπο ενημερωτικού δελτίου."
"Wrong quote item.","Λάθος στοιχείο προσφοράς."
"Wrong tab configuration.","Λάθος διαμόρφωση καρτέλας."
"Wrong tab configuration for %s %s.","Λάθος ρύθμιση παραμέτρων για %s %s."
"Wrong tag was specified.","Λάθος ετικέτα έχει καθοριστεί."
"Wrong transaction ID specified.","Δόθηκε λάθος ID συναλλαγής."
"XML","XML"
"XML data is invalid.","Τα δεδομένα XML δεν είναι έγκυρα."
"XML object is not instance of ""\Maho\Simplexml\Element"".","Το αντικείμενο XML δεν είναι παρουσία του ""\Maho\Simplexml\Element""."
"Year","Έτος"
"Yes","Ναι"
"Yes (301 Moved Permanently)","Ναι (301 Μεταφέρθηκε Μόνιμα)"
"Yes (302 Found)","Ναι (302 Βρέθηκε)"
"Yes (only price with tax)","Ναι (μόνο τιμή με ΦΠΑ)"
"You cannot delete your own account.","Δεν μπορείτε να διαγράψετε το δικό σας λογαριασμό."
"You did not sign in correctly or your account is temporarily disabled.","Δεν συνδεθήκατε σωστά ή ο λογαριασμός σας είναι προσωρινά απενεργοποιημένος."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Έχετε %s, %s και %s μη αναγνωσμένα μηνύματα. <a href=""%s"">Πηγαίνετε στα εισερχόμενα μηνύματα</a>."
"You have %s unread message(s).","Έχετε %s μη αναγνωσμένα μηνύματα."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Έχετε %s μη αναγνωσμένα μηνύματα. <a href=""%s"">Μεταβείτε στα εισερχόμενα μηνύματα</a>."
"You have logged out.","Έχετε αποσυνδεθεί."
"You have not enough permissions to use this functionality.","Δεν έχετε αρκετά δικαιώματα για να χρησιμοποιήσετε αυτήν τη λειτουργία."
"You need to specify order items.","Πρέπει να καθορίσετε τα στοιχεία παραγγελίας."
"Your password has been updated.","Ο κωδικός σας έχει ενημερωθεί."
"Your password reset link has expired.","Ο σύνδεσμος επαναφοράς κωδικού πρόσβασης έχει λήξει."
