"%d product(s) were updated","%d produkt(er) uppdaterades"
"%s (Default Template from Locale)","%s (standardmall från lokalt)"
"%s cache type(s) disabled.","%s cachetyper inaktiverade."
"%s cache type(s) enabled.","%s cachetyper aktiverade."
"%s cache type(s) refreshed.","%s cache typ(er) uppdaterade."
"Warning: Please do not close the window during importing/exporting data","Varning: Stäng inte fönstret vid import/export av data"
"Watermark File for %s","Vattenstämpelfil för %s"
"Web services","Webbtjänster"
"Website","Webbplats"
"website(%s) scope","webbplats(%s) omfattning"
"What is this?","Vad är detta?"
"Wishlist item is not loaded.","Önskelista posten är inte laddad."
"Wrong account specified.","Fel konto angivet."
"Wrong billing agreement ID specified.","Fel faktureringsavtal ID angivet."
"Wrong column format.","Fel kolumnformat."
"Wrong field specified.","Fel fält angivet."
"Wrong newsletter template.","Fel mall för nyhetsbrev."
"Wrong quote item.","Fel offert objekt."
"Wrong tab configuration.","Fel flikkonfiguration."
"Wrong tab configuration for %s %s.","Fel flikkonfiguration för %s %s."
"Wrong tag was specified.","Fel tagg anges."
"Wrong transaction ID specified.","Fel transaktions-ID angivet."
"XML","XML"
"XML data is invalid.","XML-data är ogiltig."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML-objekt är inte instans av ""\Maho\Simplexml\Element""."
"Year","År"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 permanent flyttad)"
"Yes (302 Found)","Ja (302 hittades)"
"Yes (only price with tax)","Ja (endast pris med moms)"
"You cannot delete your own account.","Du kan inte ta bort ditt eget konto."
"You did not sign in correctly or your account is temporarily disabled.","Du har inte loggat in korrekt eller ditt konto är tillfälligt inaktiverat."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Du har olästa %s, %s och %s meddelanden. <a href=""%s"">Gå till inkorg</a>."
"You have %s unread message(s).","Du har %s olästa meddelanden."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Du har %s olästa meddelanden. <a href=""%s"">Gå till meddelanden inkorg</a>."
"You have logged out.","Du har loggat ut."
"You have not enough permissions to use this functionality.","Du har inte tillräckligt med behörighet för att använda den här funktionen."
"You need to specify order items.","Du måste ange beställningsartiklar."
"Your password has been updated.","Ditt lösenord har uppdaterats."
"Your password reset link has expired.","Din återställningslänk för lösenord har löpt ut."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Din server PHP-inställningar tillåter dig att ladda upp filer inte mer än %s åt gången. Vänligen ändra post_max_size (för närvarande är %s) och upload_max_filesize (för närvarande är %s) värden i php.ini om du vill ladda upp större filer."
"YTD","YTD"
"Zip/Postal Code","Postnummer"
"Zip/Postal Code:","Postnummer/postnummer:"
" [deleted]"," [deleted]"
"[ deleted ]","[ raderad ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VISNING]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} rekommenderas inte att använda i en produktionsmiljö för att deklarera Base Unsecure URL / Base Secure URL. Det rekommenderas starkt att ändra detta värde i din Maho <a href=""%s"">konfiguration</a>."
