"%d product(s) were updated","%d produs(e) au fost actualizate"
"%s (Default Template from Locale)","%s (Șablon defect de la Local)"
"%s cache type(s) disabled.","Tip(uri) de cache %s dezactivate."
"%s cache type(s) enabled.","Tip(uri) de cache %s activate."
"%s cache type(s) refreshed.","Tip(uri) de cache %s reîmprospătate."
"User Type Resources","Resurse tip utilizator"
"Use Website","Utilizare site"
"Validation Results","Rezultatele validării"
"Value","Valoare"
"Value Delimiter:","Delimitator valoare:"
"Variable","Variabilă"
"Variable Code","Cod variabil"
"Variable Details","Detalii variabilă"
"Variable has been deleted.","Variabila a fost ștearsă."
"Variable HTML Value","Valoare HTML variabilă"
"Variable ID","ID Variabil"
"Variable Name","Nume Variabilă"
"Variable Name is incorrect.","Numele variabilei este incorect."
"Variable Name is required field.","Numele variabilei este câmp obligatoriu."
"Variable Plain Value","Valoare variabilă lain"
"Variables","Variabile"
"VAT Number is Invalid","Numărul de TVA este invalid"
"VAT Number is Valid","Numărul TVA este valid"
"Verification Code","Cod de verificare"
"Verifier code: %s","Cod verificare: %s"
"View Actions XML","Vezi acțiuni XML"
"View Full Size","Vezi dimensiunea completă"
"View Statistics For:","Vezi statistici pentru:"
"Visibility:","Vizibilitate:"
"Visitors","Vizitatori"
"Warning","Avertizare"
"Warning! Empty value can cause problems with CSV format.","Atenție! Valoarea goală poate cauza probleme cu formatul CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Atenție!\r\nAceastă acțiune va elimina acest utilizator din rolul deja atribuit\r\nEști sigur?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Atenție!\r\nAceastă acțiune va elimina acei utilizatori din rolurile deja atribuite\r\nEști sigur?"
"Warning: Please do not close the window during importing/exporting data","Avertisment: Nu închideți fereastra în timpul importării/exportării datelor"
"Watermark File for %s","Fişier filigran pentru %s"
"Web Services","Servicii Web"
"Web services","Servicii web"
"Website","Website"
"website(%s) scope","domeniu site(%s)"
"What is this?","Ce este asta?"
"Wishlist item is not loaded.","Elementul dorit nu este încărcat."
"Wrong account specified.","Cont specificat greșit."
"Wrong billing agreement ID specified.","ID acord de facturare specificat greșit."
"Wrong column format.","Format greșit al coloanei."
"Wrong field specified.","Camp gresit specificat."
"Wrong newsletter template.","Sablon invalid la newsletter."
"Wrong quote item.","Element citat greşit."
"Wrong tab configuration.","Configurare filă greșită."
"Wrong tab configuration for %s %s.","Configurare filă greșită pentru %s %s."
"Wrong tag was specified.","A fost specificată o etichetă greșită."
"Wrong transaction ID specified.","ID tranzacție specificat greșit."
"XML","XML"
"XML data is invalid.","Datele XML nu sunt valide."
"XML object is not instance of ""\Maho\Simplexml\Element"".","Obiectul XML nu este o instanță a ""\Maho\Simplexml\Element""."
"Year","An"
"Yes","Da"
"Yes (301 Moved Permanently)","Da (301 Mutări permanente)"
"Yes (302 Found)","Da (302 găsit)"
"Yes (only price with tax)","Da (doar prețul cu TVA)"
"You cannot delete your own account.","Nu puteţi şterge propriul cont."
"You did not sign in correctly or your account is temporarily disabled.","Nu v-ați conectat corect sau contul dvs. este temporar dezactivat."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Aveți mesaje %s, %s și %s necitite. <a href=""%s"">Mergeți la mesajele primite</a>."
"You have %s unread message(s).","Aveți %s mesaj necitit."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Aveți %s mesaj necitit. <a href=""%s"">Mergeți la mesajele primite</a>."
"You have logged out.","V-ați deconectat."
"You have not enough permissions to use this functionality.","Nu ai suficiente permisiuni pentru a folosi această funcționalitate."
"You need to specify order items.","Trebuie să specificați elementele comenzii."
"Your password has been updated.","Parola ta a fost actualizată."
"Your password reset link has expired.","Link-ul de resetare a parolei a expirat."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Setarile PHP ale serverului iti permit sa incarci fisiere nu mai mult de %s odata. Vă rugăm să modificaţi valorile post_max_size (în prezent este %s) şi upload_max_filesize (în prezent este %s) în php.ini dacă doriţi să încărcaţi fişiere mai mari."
"YTD","YTD"
"Zip/Postal Code","Cod poștal"
"Zip/Postal Code:","Cod poștal:"
" [deleted]"," [deleted]"
"[ deleted ]","[ şters ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[PĂSTRARE VIZUI]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} nu este recomandat să fie utilizat într-un mediu de producție pentru a declara URL-ul de bază nesecurizat / URL-ul securizat de bază. Este foarte recomandat să schimbați această valoare în configurația Maho <a href=""%s""></a>."
