"%d product(s) were updated","%d produktów zostało zaktualizowanych"
"%s (Default Template from Locale)","%s (domyślny szablon z języka)"
"%s cache type(s) disabled.","%s cache type(s) disabled."
"%s cache type(s) enabled.","%s cache type(s) enabled."
"%s cache type(s) refreshed.","%s cache type(s) refreshed."
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Aby anulować oczekujące autoryzacje i uwolnić kwoty, które zostały już przetworzone podczas tej płatności, kliknij przycisk Anuluj."
"Tools","Narzędzia"
"Top 5 Search Terms","5 najlepszych wyszukiwarek"
"Total","Łącznie"
"Total Invoiced","Razem zafakturowane"
"Total of %d record(s) have been deleted.","Łącznie %d rekord(y) zostały usunięte."
"Total of %d record(s) have been updated.","Całkowita liczba rekordów %d została zaktualizowana."
"Total of %d record(s) were deleted","Całkowita liczba rekordów %d została usunięta"
"Total of %d record(s) were deleted.","Łącznie %d rekord(y) zostały usunięte."
"Total of %d record(s) were updated","Całkowita liczba rekordów %d została zaktualizowana"
"Total of %d record(s) were updated.","Całkowita liczba rekordów %d została zaktualizowana."
"Total of %d URL rewrite(s) have been deleted.","Łącznie %d przekierowanie URL zostało usunięte."
"Total Order Amount","Całkowita kwota zamówienia"
"Total Refunded","Zwrócono łącznie"
"Tracking number %s for %s assigned","Przypisano numer śledzenia %s dla %s"
"Tracking number cannot be empty.","Numer śledzenia nie może być pusty."
"Track Order","Śledź zamówienie"
"Track this shipment","Śledź tę dostawę"
"Trailing Slash Behavior","Zachowanie ostrości"
"Transactional Emails","Wiadomości transakcyjne"
"Transaction Data","Dane transakcji"
"Transaction Details","Szczegóły transakcji"
"Transaction ID","Identyfikator transakcji"
"Transactions","Transakcje"
"Transaction Type","Typ transakcji"
"Two-Factor Authentication","Uwierzytelnianie dwuetapowe"
"Type","Typ"
"Type:","Typ:"
"Unable to cancel the credit memo.","Nie można anulować faktury korygującej."
"Unable to find a block to delete.","Nie można znaleźć bloku do usunięcia."
"Unable to find a Email Template to delete.","Nie można znaleźć szablonu e-mail do usunięcia."
"Unable to find a tag to delete.","Nie można znaleźć tagu do usunięcia."
"Unable to find a user to delete.","Nie można znaleźć użytkownika do usunięcia."
"Unable to find a variable to delete.","Nie można znaleźć zmiennej do usunięcia."
"Unable to initialize import model","Nie można zainicjować modelu importu"
"Unable to refresh lifetime statistics.","Nie można odświeżyć statystyk dożywotnich."
"Unable to refresh recent statistics.","Nie można odświeżyć ostatnich statystyk."
"Unable to save the cron expression.","Nie można zapisać wyrażenia cron."
"Unable to save the invoice.","Nie można zapisać faktury."
"Unable to send the invoice email.","Nie można wysłać e-maila z fakturą."
"Unable to send the shipment email.","Nie można wysłać e-maila z wysyłką."
"Unable to update transaction details.","Nie można zaktualizować szczegółów transakcji."
"Unable to void the credit memo.","Nie można unieważnić faktury korygującej."
"Unknown","Nieznane"
"Unlimited","Nieograniczona"
"Update","Aktualizuj"
"Updated At","Zaktualizowano"
"Uploaded file is larger than %.2f kilobytes allowed by server","Przesłany plik jest większy niż %.2f kilobajtów dozwolonych przez serwer"
"Upload File","Prześlij plik"
"Upload Files","Prześlij pliki"
"URL Rewrite","Przekierowanie URL"
"URL Rewrite Information","Informacje o przekierowaniu URL"
"URL Rewrite Management","Zarządzanie Przekierowaniem URL"
"Use All Available Attributes","Użyj wszystkich dostępnych atrybutów"
"Use Config Settings","Użyj ustawień konfiguracyjnych"
"Used as Default For","Używane jako domyślne dla"
"Used Currently For","Używane obecnie dla"
"Use Default","Użyj domyślnych"
"Use Default Value","Użyj wartości domyślnej"
"Use Default Variable Values","Użyj wartości zmiennej domyślnej"
"User Email","E-mail użytkownika"
"User ID","ID użytkownika"
"User Info","Informacje o użytkowniku"
"User Information","Informacje o użytkowniku"
"User Name","Nazwa użytkownika"
"User name","Nazwa użytkownika"
"User Name:","Nazwa użytkownika:"
"User Name is required field.","Nazwa użytkownika jest polem wymaganym."
"User Password","Hasło użytkownika"
"User Role","Rola użytkownika"
"User Roles","Role użytkownika"
"User Roles Information","Informacje o rolach użytkownika"
"Users","Użytkownicy"
"User Type Resources","Zasoby typu użytkownika"
"Use Website","Użyj strony"
"Validation Results","Wyniki walidacji"
"Value","Wartość"
"Value Delimiter:","Ogranicznik wartości:"
"Variable","Zmienna"
"Variable Code","Kod zmiennej"
"Variable Details","Szczegóły zmiennej"
"Variable has been deleted.","Zmienna została usunięta."
"Variable HTML Value","Wartość zmiennej HTML"
"Variable ID","Identyfikator zmiennej"
"Variable Name","Nazwa zmiennej"
"Variable Name is incorrect.","Nazwa zmiennej jest nieprawidłowa."
"Variable Name is required field.","Nazwa zmiennej jest polem wymaganym"
"Variable Plain Value","Zmienna wartość zerowa"
"Variables","Zmienne"
"VAT Number is Invalid","Numer VAT jest nieprawidłowy"
"VAT Number is Valid","Numer VAT jest poprawny"
"Verification Code","Kod weryfikacyjny"
"Verifier code: %s","Kod weryfikatora: %s"
"View Actions XML","Pokaż XML akcji"
"View Full Size","Zobacz pełny rozmiar"
"View Statistics For:","Zobacz statystyki dla:"
"Visibility:","Widoczność:"
"Visible","Widoczny"
"Visitors","Odwiedzający"
"Warning","Ostrzeżenie"
"Warning! Empty value can cause problems with CSV format.","Ostrzeżenie! Pusta wartość może powodować problemy z formatem CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Ostrzeżenie!\r\nTa akcja usunie tego użytkownika z już przypisanej roli\r\nJesteś pewien?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Ostrzeżenie!\r\nTo działanie usunie tych użytkowników z już przypisanych ról\r\nCzy jesteś pewien?"
"Warning: Please do not close the window during importing/exporting data","Ostrzeżenie: Nie zamykaj okna podczas importowania/eksportowania danych"
"Watermark File for %s","Plik znaku wodnego dla %s"
"Web services","Usługi sieciowe"
"Website","Strona internetowa"
"website(%s) scope","zakres strony (%s)"
"What is this?","Co to jest?"
"Wishlist item is not loaded.","Nie załadowano elementu schowka."
"Wrong account specified.","Określono nieprawidłowe konto."
"Wrong billing agreement ID specified.","Określono nieprawidłowy identyfikator umowy rozliczeniowej."
"Wrong column format.","Nieprawidłowy format kolumny."
"Wrong field specified.","Określono nieprawidłowe pole."
"Wrong newsletter template.","Nieprawidłowy szablon newslettera."
"Wrong quote item.","Niepoprawny element oferty."
"Wrong tab configuration.","Błędna konfiguracja karty."
"Wrong tab configuration for %s %s.","Błędna konfiguracja karty dla %s %s."
"Wrong tag was specified.","Podano nieprawidłowy tag."
"Wrong transaction ID specified.","Określono nieprawidłowy identyfikator transakcji."
"XML","XML"
"XML data is invalid.","Dane XML są nieprawidłowe."
"XML object is not instance of ""\Maho\Simplexml\Element"".","Obiekt XML nie jest instancją ""\Maho\Simplexml\Element""."
"Year","W związku z tym Komisja stwierdza, że środek 1 stanowi pomoc państwa w rozumieniu art. 107 ust. 1 Traktatu."
"Yes","Tak"
"Yes (301 Moved Permanently)","Tak (301 przenoszonych na stałe)"
"Yes (302 Found)","Tak (302 Znalezione)"
"Yes (only price with tax)","Tak (tylko cena z podatkiem)"
"You cannot delete your own account.","Nie możesz usunąć własnego konta."
"You did not sign in correctly or your account is temporarily disabled.","Nie zalogowałeś się poprawnie lub konto jest tymczasowo wyłączone."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Masz nieprzeczytane wiadomości %s, %s i %s . <a href=""%s"">Przejdź do skrzynki odbiorczej</a>."
"You have %s unread message(s).","You have %s unread message(s)."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>."
"You have logged out.","Wylogowałeś się."
"You have not enough permissions to use this functionality.","Nie masz wystarczających uprawnień, aby użyć tej funkcji."
"You need to specify order items.","Musisz określić elementy zamówienia."
"Your password has been updated.","Twoje hasło zostało zaktualizowane."
"Your password reset link has expired.","Link do resetowania hasła wygasł."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Ustawienia PHP serwera pozwalają na przesyłanie plików nie więcej niż %s jednocześnie. Zmodyfikuj wartości post_max_size (obecnie %s) i upload_max_filesize (obecnie %s) w php.ini jeśli chcesz przesłać większe pliki."
"YTD","DUC"
"Zip/Postal Code","Kod pocztowy"
"Zip/Postal Code:","Kod pocztowy:"
" [deleted]"," [deleted]"
"[ deleted ]","[ usunięty]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[PRZECHOWYWA]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} nie jest zalecany do używania w środowisku produkcyjnym do deklarowania Bazowego Niebezpiecznego URL / Bazowego Bezpiecznego URL. Zaleca się zmianę tej wartości w Maho <a href=""%s"">konfiguracja</a>."
