"%d product(s) were updated","%d product(s) were updated"
"%s (Default Template from Locale)","%s (Modèle par défaut à partir de la région)"
"%s cache type(s) disabled.","Type de cache %s désactivé."
"%s cache type(s) enabled.","Type de cache %s activé."
"%s cache type(s) refreshed.","%s type(s) de cache actualisé."
"Unknown","Inconnu"
"Unlimited","Illimité"
"Update","Mise à jour"
"Updated At","Mis à jour le"
"Uploaded file is larger than %.2f kilobytes allowed by server","Le fichier téléchargé est plus grand que %.2f kilo-octets autorisés par le serveur"
"Upload File","Charger un fichier"
"Upload Files","Télécharger des fichiers"
"URL Rewrite","Réécriture d'URL"
"URL Rewrite Information","Informations de réécriture d'URL"
"URL Rewrite Management","Gestion de la réécriture d'URL"
"Use All Available Attributes","Utiliser tous les attributs disponibles"
"Use Config Settings","Utiliser les paramètres de configuration"
"Used as Default For","Utilisé par défaut pour"
"Used Currently For","Utilisé actuellement pour"
"Use Default","Utiliser par défaut"
"Use Default Value","Utiliser la valeur par défaut"
"Use Default Variable Values","Utiliser les valeurs par défaut des variables"
"User Email","E-mail de l'utilisateur"
"User ID","Identifiant de l'utilisateur"
"User Info","Informations sur l'utilisateur"
"User Information","Informations sur l'utilisateur"
"User Name","Nom d'utilisateur"
"User name","Nom d'utilisateur"
"User Name:","Nom d'utilisateur:"
"User Name is required field.","Le nom d'utilisateur est obligatoire."
"User Password","Mot de passe de l'utilisateur"
"User Role","Rôle de l'utilisateur"
"User Roles","Rôles de l'utilisateur"
"User Roles Information","Informations sur les rôles de l'utilisateur"
"Users","Utilisateurs"
"User Type Resources","Ressource de type utilisateur"
"Use Website","Utiliser le site web"
"Validation Results","Résultats de validation"
"Value","Valeur"
"Value Delimiter:","Délimiteur de valeur:"
"Variable","Variable"
"Variable Code","Code variable"
"Variable Details","Détails de la variable"
"Variable has been deleted.","La variable a été supprimée."
"Variable HTML Value","Valeur HTML de la variable"
"Variable ID","ID de la variable"
"Variable Name","Nom de la variable"
"Variable Name is incorrect.","Le nom de la variable est incorrect."
"Variable Name is required field.","Le nom de la variable est obligatoire."
"Variable Plain Value","Valeur simple de la variable"
"Variables","Variables"
"VAT Number is Invalid","Le numéro de TVA est invalide"
"VAT Number is Valid","Le numéro de TVA est valide"
"Verification Code","Code de vérification"
"Verifier code: %s","Code de vérification : %s"
"View Actions XML","Voir le XML des actions"
"View Full Size","Voir la pleine taille"
"View Statistics For:","Voir les statistiques pour:"
"Visibility:","Visibilité :"
"Visible","Visible"
"Visitors","Visiteurs"
"Warning","Avertissement"
"Warning! Empty value can cause problems with CSV format.","Attention ! La valeur vide peut causer des problèmes avec le format CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Attention !\r\nCette action supprimera cet utilisateur du rôle déjà assigné\r\nÊtes-vous sûr ?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Attention !\r\nCette action supprimera ces utilisateurs des rôles déjà assignés\r\nÊtes-vous sûr ?"
"Warning: Please do not close the window during importing/exporting data","Attention : Veuillez ne pas fermer la fenêtre lors de l'importation/exportation des données"
"Watermark File for %s","Fichier filigrane pour %s"
"Web services","Services Web"
"Website","Site Web"
"website(%s) scope","portée du site web (%s)"
"What is this?","Qu'est-ce que c'est?"
"Wishlist item is not loaded.","L'élément de la liste d'envies n'est pas chargé."
"Wrong account specified.","Mauvais compte spécifié."
"Wrong billing agreement ID specified.","Mauvais ID d'entente de facturation spécifié."
"Wrong column format.","Format de colonne incorrect."
"Wrong field specified.","Mauvais champ spécifié."
"Wrong newsletter template.","Mauvais modèle de newsletter."
"Wrong quote item.","Mauvais article de devis."
"Wrong tab configuration.","Mauvaise configuration des onglets."
"Wrong tab configuration for %s %s.","Mauvaise configuration des onglets pour %s %s."
"Wrong tag was specified.","Mauvaise étiquette spécifiée."
"Wrong transaction ID specified.","Mauvais identifiant de transaction spécifié."
"XML","XML"
"XML data is invalid.","Les données XML sont invalides."
"XML object is not instance of ""\Maho\Simplexml\Element"".","L'objet XML n'est pas une instance de ""\Maho\Simplexml\Element""."
"Year","Année"
"Yes","Oui"
"Yes (301 Moved Permanently)","Oui (301 déplacés de manière permanente)"
"Yes (302 Found)","Oui (302 Trouvés)"
"Yes (only price with tax)","Oui (seulement le prix avec taxe)"
"You cannot delete your own account.","Vous ne pouvez pas supprimer votre propre compte."
"You did not sign in correctly or your account is temporarily disabled.","Vous ne vous êtes pas connecté correctement ou votre compte est temporairement désactivé."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Vous avez des messages non lus %s, %s et %s . <a href=""%s"">Accéder à la boîte de réception des messages</a>."
"You have %s unread message(s).","You have %s unread message(s)."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>."
"You have logged out.","Vous êtes déconnecté."
"You have not enough permissions to use this functionality.","Vous n'avez pas assez de permissions pour utiliser cette fonctionnalité."
"You need to specify order items.","Vous devez spécifier les éléments de la commande."
"Your password has been updated.","Votre mot de passe a été mis à jour."
"Your password reset link has expired.","Le lien de réinitialisation de votre mot de passe a expiré."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Les paramètres PHP de votre serveur vous permettent de télécharger des fichiers au maximum %s à la fois. Veuillez modifier les valeurs post_max_size (actuellement %s) et upload_max_filesize (actuellement %s) dans php.ini si vous voulez télécharger des fichiers plus volumineux."
"YTD","JJ"
"Zip/Postal Code","Code postal"
"Zip/Postal Code:","Code postal :"
" [deleted]"," [deleted]"
"[ deleted ]","[ supprimé ]"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[AFFICHER LA VUE]"
"[WEBSITE]","[WEBSITE]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Maho <a href=""%s"">configuration</a>.","{{base_url}} n'est pas recommandé d'utiliser dans un environnement de production pour déclarer l'URL de base non sécurisée / URL sécurisée de base. Il est fortement recommandé de modifier cette valeur dans votre configuration Maho <a href=""%s""></a>."
